pair_key,family,claim,source_task,target_task,seed,sample_size,repeat,method,target_nominal_trajectories,target_interventions_for_fit,target_interventions_for_validation,source_sample_size,fit_success,fit_error,fit_seconds,m_transfer_correct,e_alpha,e_task,alpha_active_du,alpha_active_dv,alpha_active_dw,alpha_active_roll,alpha_active_pitch,alpha_active_yaw
bowl_stove_to_cream_cheese_bowl,support_to_container,upright xyz placement transfers across object and container geometry,bowl_on_stove,cream_cheese_in_bowl,20270818,8,0,TP-GMM SE(3) target scratch,0,8,0,0,True,,2.2967685339972377,False,0.10296180145516919,1.079161007950368e-05,0.6376613472296871,0.7400945653765478,0.480563650568297,0.005038174597931544,0.011886775690966633,0.0016848049942290722
bowl_stove_to_cream_cheese_bowl,support_to_container,upright xyz placement transfers across object and container geometry,bowl_on_stove,cream_cheese_in_bowl,20280818,8,0,Ours transfer: source Pdiag N=30 + target nominal N=1,1,0,8,30,True,,0.0,True,4.334104309708051e-05,2.0293093035955424e-09,1.0060832723265658,1.0111814912015857,1.008568674881298,0.0028783115682674953,0.0005921973347770994,0.0005131797385333902
bowl_stove_to_cream_cheese_bowl,support_to_container,upright xyz placement transfers across object and container geometry,bowl_on_stove,cream_cheese_in_bowl,20280818,8,0,Frame-weighted target scratch,0,8,0,0,True,,0.0022926342207938433,False,0.17074898199790475,9.631661734672802e-06,0.29544204400365176,0.29544204400365176,0.29544204400365176,0.29544204400365176,0.29544204400365176,0.29544204400365176
bowl_stove_to_cream_cheese_bowl,support_to_container,upright xyz placement transfers across object and container geometry,bowl_on_stove,cream_cheese_in_bowl,20280818,8,0,Phase scalar GP target scratch,0,8,0,0,True,,0.09591766400262713,False,0.17075236026648105,9.631879876578303e-06,0.2976886613247567,0.2976886613247567,0.2976886613247567,0.2976886613247567,0.2976886613247567,0.2976886613247567
bowl_stove_to_cream_cheese_bowl,support_to_container,upright xyz placement transfers across object and container geometry,bowl_on_stove,cream_cheese_in_bowl,20280818,8,0,Pdiag finite target scratch,0,8,0,0,True,,0.9226180189289153,True,0.00032280971241896515,4.2036182196321874e-08,0.9565175602164808,1.0060473484933217,1.0110181129414948,0.000568277623415597,0.0002859296626206233,1.7157698176558034e-07
bowl_stove_to_cream_cheese_bowl,support_to_container,upright xyz placement transfers across object and container geometry,bowl_on_stove,cream_cheese_in_bowl,20280818,8,0,TP-GMM SE(3) target scratch,0,8,0,0,True,,2.5373944179154932,True,0.09972133213025146,7.020841201612023e-06,0.61162265166885,0.7343637819456905,0.6779096805148432,0.005364358414502224,0.0051092079820334035,0.0010868926038383186
bowl_stove_to_wine_cabinet,cross_object_support,upright xyz placement transfers across object identity and scene support,bowl_on_stove,wine_bottle_on_cabinet,20260818,8,0,Ours transfer: source Pdiag N=30 + target nominal N=1,1,0,8,30,True,,0.0,True,4.334104309708051e-05,1.9192178652829824e-09,1.0060832723265658,1.0111814912015857,1.008568674881298,0.0028783115682674953,0.0005921973347770994,0.0005131797385333902
bowl_stove_to_wine_cabinet,cross_object_support,upright xyz placement transfers across object identity and scene support,bowl_on_stove,wine_bottle_on_cabinet,20260818,8,0,Frame-weighted target scratch,0,8,0,0,True,,0.0025048619136214256,False,0.14794271877703774,6.893174560523033e-06,0.5535118616200808,0.5535118616200808,0.5535118616200808,0.5535118616200808,0.5535118616200808,0.5535118616200808
bowl_stove_to_wine_cabinet,cross_object_support,upright xyz placement transfers across object identity and scene support,bowl_on_stove,wine_bottle_on_cabinet,20260818,8,0,Phase scalar GP target scratch,0,8,0,0,True,,0.10029166797176003,False,0.1479458221558464,6.893337472312457e-06,0.5577209082330838,0.5577209082330838,0.5577209082330838,0.5577209082330838,0.5577209082330838,0.5577209082330838
bowl_stove_to_wine_cabinet,cross_object_support,upright xyz placement transfers across object identity and scene support,bowl_on_stove,wine_bottle_on_cabinet,20260818,8,0,Pdiag finite target scratch,0,8,0,0,True,,1.2225946369580925,True,0.0002329211664631498,4.4250498083692906e-08,1.0101239054646594,1.0474176736036829,0.9871708831277489,0.00038439486303756555,0.009104504511419137,0.0013836601090508785
