seed,condition_id,generator,method,segment,position_rmse_mm,orientation_rmse_deg,axis_rmse_deg
20270818,35,mixed,Frame scalar affine,All assembly,10.419829830744163,4.202188387107883,2.759486042694975
20270818,39,mixed,Frame scalar affine,All assembly,23.330880471963013,14.223662952046178,6.664703965659282
20270818,43,mixed,Frame scalar affine,All assembly,15.131376925970448,11.930924267773912,3.2948254284049447
20270818,47,mixed,Frame scalar affine,All assembly,6.708796231641949,2.796323128319509,1.130383523487016
20270818,51,mixed,Frame scalar affine,All assembly,4.671043081538453,2.4537920413408827,0.8228765928921663
20270818,55,mixed,Frame scalar affine,All assembly,19.248660040175164,4.693394513231336,4.6713056994128985
20270818,59,mixed,Frame scalar affine,All assembly,20.354596787942043,7.704572389964549,6.029803679149834
20270818,63,mixed,Frame scalar affine,All assembly,9.22938691686637,7.5475940175016225,2.3980703129579086
20270818,67,mixed,Frame scalar affine,All assembly,37.02555968973546,11.667876412058824,8.455031794196756
20270818,71,mixed,Frame scalar affine,All assembly,21.8742380687414,6.118425441800344,4.8283633066052065
20270818,1,du,Frame scalar affine,Align,3.3809977937715794,1.4027762490838567,1.3223648400911339
20270818,2,du,Frame scalar affine,Align,11.921594209255154,1.3047778509884325,1.2126162348464125
20270818,3,dv,Frame scalar affine,Align,9.730191051642809,1.5890229811639849,1.5800443586686608
20270818,4,dv,Frame scalar affine,Align,14.646326011006067,1.5629444862886623,1.4654163267579532
20270818,5,dw,Frame scalar affine,Align,11.801096240213472,1.646915002894112,1.5762477288671675
20270818,6,dw,Frame scalar affine,Align,11.892930022518279,1.618106897576982,1.4743237236214275
20270818,7,roll,Frame scalar affine,Align,30.200395986054566,6.578424482006157,6.576137920131366
20270818,8,roll,Frame scalar affine,Align,32.75599724915502,6.460447464457245,6.360238725651053
20270818,9,pitch,Frame scalar affine,Align,25.647927943679395,4.708030897677336,4.67792948520662
20270818,10,pitch,Frame scalar affine,Align,33.46754154324213,7.254284033302585,7.2451758698143305
20270818,11,yaw,Frame scalar affine,Align,7.226149171875011,10.391901398656955,1.3816724134979264
20270818,12,yaw,Frame scalar affine,Align,6.608033045592136,5.011228784507854,1.2844492812032249
20270818,13,yaw,Frame scalar affine,Align,7.153752892046031,5.918002473042301,1.4984695122403795
20270818,14,yaw,Frame scalar affine,Align,6.023457169207543,11.203980654048928,1.3167374995370802
20270818,15,mixed,Frame scalar affine,Align,22.409848831726425,6.984540849010622,3.8895902349530744
20270818,19,mixed,Frame scalar affine,Align,36.24325845070153,7.437673166243426,7.022856809953196
20270818,23,mixed,Frame scalar affine,Align,6.877940558529982,2.452130776989824,1.5610885051135885
20270818,27,mixed,Frame scalar affine,Align,32.4765456507864,10.063574445643555,7.133094705327967
20270818,31,mixed,Frame scalar affine,Align,15.46408893214159,4.03867517456368,3.2730942634607736
20270818,35,mixed,Frame scalar affine,Align,15.609299137320896,3.7793901033177923,3.1011267490609447
20270818,39,mixed,Frame scalar affine,Align,27.99013302915539,11.10618825139274,6.243373144302656
20270818,43,mixed,Frame scalar affine,Align,17.136331590274768,8.599373857956563,3.2004891586121316
20270818,47,mixed,Frame scalar affine,Align,6.946512822278203,2.501782900759547,1.080958395332316
