sample_index,source_progress,phase,phase_index,phase_progress,generator,mean,sd,seed_20260818,seed_20270818,seed_20280818
79,0.7916666666666666,Insert,3,0.16666666666666666,dv,0.9822048616317921,0.016571386189922273,1.0012747502868204,0.9713041390392714,0.9740356955692847
80,0.8020833333333334,Insert,3,0.20833333333333334,dv,0.9824727813945503,0.016927581082816234,1.001923497921439,0.9710755316100204,0.9744193146521912
81,0.8125,Insert,3,0.25,dv,0.9824717477559431,0.016786378581295322,1.001726518679089,0.9709148925751324,0.9747738320136081
82,0.8229166666666666,Insert,3,0.2916666666666667,dv,0.9822128369657483,0.01626804613692978,1.0008455939451266,0.9708313675279774,0.9749615494241411
83,0.8333333333333334,Insert,3,0.3333333333333333,dv,0.9818356149235609,0.015670229007231227,0.9997735056832853,0.9708099407190318,0.9749233983683654
84,0.84375,Insert,3,0.375,dv,0.9815370923115729,0.01531976367443363,0.9990848811575311,0.9708263217945327,0.9747000739826551
85,0.8541666666666666,Insert,3,0.4166666666666667,dv,0.9814786315784928,0.01541475907348449,0.9991597013292889,0.9708633779523669,0.9744128154538226
86,0.8645833333333334,Insert,3,0.4583333333333333,dv,0.9817154248183653,0.015930952206608468,1.0000124426551753,0.9709208320871382,0.9742129997127823
87,0.875,Insert,3,0.5,dv,0.9821805560166519,0.01664097195815338,1.001306488813511,0.9710141655634049,0.9742210136730396
88,0.8854166666666666,Insert,3,0.5416666666666666,dv,0.9827253499887623,0.01723403679243012,1.0025333036045407,0.9711643413980724,0.9744784049636737
89,0.8958333333333333,Insert,3,0.5833333333333334,dv,0.9831901352604558,0.01746667826352294,1.0032546714085089,0.9713842715633998,0.9749314628094589
90,0.90625,Insert,3,0.625,dv,0.9834710382414434,0.017269929797172828,1.003292708908774,0.9716690381433559,0.9754513676722002
91,0.9166666666666666,Insert,3,0.6666666666666666,dv,0.9835574449043983,0.016773976827834054,1.0027959012929557,0.9719946001172973,0.9758818333029418
92,0.9270833333333333,Insert,3,0.7083333333333334,dv,0.9835299902500322,0.016250909516307036,1.002168215004952,0.9723255414049836,0.976096214340161
93,0.9375,Insert,3,0.75,dv,0.9835232201317169,0.016002550653680763,1.0018957688925567,0.9726285206149384,0.9760453708876556
94,0.9479166666666666,Insert,3,0.7916666666666666,dv,0.9836687972768412,0.01623166350802548,1.0023367099821454,0.9728861599178522,0.9757835219305259
