seed,subset_id,protocol,sample_size,repeat,rank,augmented_intercept_rank,condition_number,optimization_success,optimization_nfev,lambda_min_post,lambda_max_post,lambda_ratio_post,log_det_post,trace_inv_post,ridge_post,lambda_min_design,lambda_max_design,lambda_ratio_design,log_det_design,trace_inv_design,ridge_design,fit_seconds
20260818,59,qualified,8,9,3,4,4.185562551546679,True,146,5.412016259302857e-20,0.00025832870066272743,2.0950116055314955e-16,-660.4861751244715,1189131713.7487926,1e-08,4.0695004862125903e-13,0.005256446553131681,7.741923074986974e-11,-689.2862415125905,966749757.4031664,1e-08,4.564782461151481
20260818,60,random,10,0,3,4,1.2124412735230874,True,3,1.0170204267934054e-13,0.0010508971078146032,9.677640362988094e-11,-668.6684054149799,938874525.482965,1e-08,5.40188857549232e-13,0.012113117077421173,4.4595363364904897e-11,-712.0337465038605,1042618375.8754172,1e-08,0.7116713807918131
20260818,61,random,10,1,3,4,1.7972955710162914,True,6,7.598138047761635e-14,0.000977152338548004,7.775796821048456e-11,-664.9948438454824,937628984.5444896,1e-08,4.975819578542804e-13,0.011086969725983588,4.487988784601259e-11,-709.7307713990122,1034924974.1070029,1e-08,0.6995085370726883
20260818,62,random,10,2,3,4,1.5995492532664022,True,11,8.495580182318184e-14,0.0010521091316095384,8.07480890249614e-11,-681.8544112954487,999352354.3740366,1e-08,3.8550161020703656e-13,0.013030143962517542,2.9585368459164294e-11,-726.0421704573736,1091493425.6457376,1e-08,0.8504358949139714
20260818,63,random,10,3,3,4,1.8299755419679276,True,14,1.3303960332165632e-14,0.0010232832473314037,1.3001249035260489e-11,-690.486855324825,1046962222.406845,1e-08,4.120775491945029e-13,0.01040942287826092,3.9586973650103816e-11,-720.7396601748728,1072732376.2414427,1e-08,3.7007813900709152
20260818,64,random,10,4,3,4,2.2813719707509796,True,14,3.365732042984026e-14,0.0005527891147998382,6.088636611816676e-11,-664.5440942269494,961570364.0842276,1e-08,4.475936489546785e-13,0.007256657954146777,6.168041153144108e-11,-703.375326926433,1013137263.6143985,1e-08,24.615338435862213
20260818,65,random,10,5,3,4,2.682391869810021,True,6,6.098262515235717e-14,0.0007858248521439364,7.760332978268703e-11,-671.2767401296994,994379126.7043344,1e-08,4.2488725993101295e-13,0.011408233146369549,3.7243914502766376e-11,-721.5586152587917,1075576254.8782024,1e-08,1.4584612403996289
20260818,66,random,10,6,3,4,1.597451274665975,True,9,5.77214868170446e-14,0.0007022471126171993,8.21954064032002e-11,-650.9270418139615,901626284.5991313,1e-08,4.288591478503746e-13,0.009786140262718818,4.3823114766109795e-11,-708.4137985782152,1030495709.1637123,1e-08,2.366220265161246
20260818,67,random,10,7,3,4,2.7162235182051355,True,18,3.248334069063764e-14,0.00036392717318644435,8.925780508837142e-11,-635.4697894229232,887016270.7997608,1e-08,3.7824976155259304e-13,0.008928566459304111,4.236399687190923e-11,-708.8436891003196,1032216767.6702795,1e-08,12.84740686789155
20260818,68,random,10,8,3,4,1.7679508120265095,True,5,4.7323158631610893e-14,0.0007446914285764001,6.354733895900599e-11,-663.7564467698123,926097466.5916309,1e-08,3.912632597253022e-13,0.0089775458916482,4.35824293685086e-11,-710.930869939322,1038963064.034306,1e-08,0.5859399843029678
