sample_size,protocol,metric,recovery,spearman_rho,pvalue_descriptive,subset_count,expected_sign
15,random,condition_number,switch_absolute_error,-0.2727272727272727,0.44583834154275137,10,1
15,qualified,lambda_min_post,task_error_mean_mm_equiv,-0.04242424242424241,0.907363817812816,10,-1
15,qualified,lambda_min_post,generator_rmse,-0.3939393939393939,0.25999776683488757,10,-1
15,qualified,lambda_min_post,switch_absolute_error,0.4545454545454545,0.186904810349332,10,-1
15,qualified,lambda_ratio_post,task_error_mean_mm_equiv,-0.01818181818181818,0.9602404181286243,10,-1
15,qualified,lambda_ratio_post,generator_rmse,-0.07878787878787878,0.8287173946974606,10,-1
15,qualified,lambda_ratio_post,switch_absolute_error,0.04242424242424241,0.907363817812816,10,-1
15,qualified,log_det_post,task_error_mean_mm_equiv,-0.18787878787878787,0.603217610029209,10,-1
15,qualified,log_det_post,generator_rmse,0.01818181818181818,0.9602404181286243,10,-1
15,qualified,log_det_post,switch_absolute_error,-0.4424242424242424,0.20042268671194224,10,-1
15,qualified,trace_inv_post,task_error_mean_mm_equiv,0.4424242424242424,0.20042268671194224,10,1
15,qualified,trace_inv_post,generator_rmse,0.2121212121212121,0.5563057751029299,10,1
15,qualified,trace_inv_post,switch_absolute_error,0.2727272727272727,0.44583834154275137,10,1
15,qualified,lambda_min_design,task_error_mean_mm_equiv,-0.1515151515151515,0.6760651759978538,10,-1
15,qualified,lambda_min_design,generator_rmse,-0.24848484848484845,0.48877630451924314,10,-1
15,qualified,lambda_min_design,switch_absolute_error,-0.4424242424242424,0.20042268671194224,10,-1
15,qualified,lambda_ratio_design,task_error_mean_mm_equiv,-0.38181818181818183,0.27625533338543595,10,-1
15,qualified,lambda_ratio_design,generator_rmse,-0.2727272727272727,0.44583834154275137,10,-1
15,qualified,lambda_ratio_design,switch_absolute_error,-0.43030303030303024,0.21449233253280775,10,-1
15,qualified,log_det_design,task_error_mean_mm_equiv,-0.38181818181818183,0.27625533338543595,10,-1
15,qualified,log_det_design,generator_rmse,-0.23636363636363633,0.5108853175152002,10,-1
15,qualified,log_det_design,switch_absolute_error,-0.3939393939393939,0.25999776683488757,10,-1
