episode,generator,steps,states,success,max_contact_force_N,contact_frames,final_dist_m,final_yaw_err_rad,socket_drift_m,solver_error,dx,dy,dyaw
episode_52,mixed,288,289,False,80.8484567994598,20,0.039459921419620514,0.01707553118467331,0.0,,-0.010498355087468056,0.0066897865915306436,-0.1008608751667831
episode_53,mixed,304,305,False,78.3401753354172,20,0.04075390473008156,0.002146899700164795,0.0,,0.0022092800135453533,-0.006167902052903956,-0.30024958305302496
episode_54,mixed,262,263,False,86.28485758985043,18,0.03874443098902702,0.0003138333559036255,0.0,,0.0027309774445985775,-0.0061425731826490375,-0.1326549871029017
episode_55,mixed,270,271,False,85.82104126585976,18,0.03868488222360611,0.000896066427230835,0.0,,0.004803518537876757,0.011172387898032668,-0.15359443054095584
episode_56,mixed,354,355,False,83.93930383649052,1,0.5512376427650452,1.2489286661148071,0.0,RuntimeError('motion planning failed'),-0.001010026235171121,-0.009064197992801566,-0.23787340649649263
episode_57,mixed,295,296,False,83.91585604304856,19,0.041280850768089294,0.0009147822856903076,0.0,,0.010690487529900764,0.008568073616123013,-0.2667181812041194
episode_58,mixed,279,280,False,87.34923647863816,20,0.040036823600530624,0.0010210275650024414,0.0,,-0.007897760576200874,0.009641322590963994,-0.17290562685042393
episode_59,mixed,600,601,False,80.89056860283776,1,0.42200279235839844,1.4150245189666748,0.0,,-0.00795629770822927,0.007065797269709583,-0.06532244434456452
episode_60,mixed,302,303,False,77.55943572111768,19,0.042153000831604004,0.007060199975967407,0.0,,-0.006401052080290989,0.007127743402857344,-0.3830881099668181
episode_61,mixed,260,261,False,74.04130860873917,18,0.03864080831408501,0.022766172885894775,0.0,,0.0071004762449433136,0.0009298306877848755,-0.3174827556718964
episode_62,mixed,236,237,False,67.24479197843799,1,0.3539724051952362,1.0586885213851929,0.0,,-0.005092894155977616,0.006046287100565359,-0.08797342712381867
episode_63,mixed,284,285,False,88.94820104201209,19,0.040740128606557846,0.0012943297624588013,0.0,,0.0034408110469182455,-0.0031401316997000505,-0.20739983720885308
episode_64,mixed,286,287,False,86.59516538377784,20,0.040511611849069595,0.0014679431915283203,0.0,,-0.0014570959377247835,0.005807528927539756,-0.20355614055598786
episode_65,mixed,149,150,False,78.94688716855592,1,0.40304797887802124,0.7334246039390564,0.0,RuntimeError('motion planning failed'),0.00771923091017589,-0.005158776557822605,-0.41321785020846735
episode_66,mixed,276,277,False,84.85683893858973,18,0.03925180807709694,0.0006785988807678223,0.0,,-0.007833168541977163,0.003370959682196646,-0.1946734787942136
episode_67,mixed,281,282,False,84.36360063938653,20,0.03985890746116638,0.002138972282409668,0.0,,-0.00783813865781474,-5.650823836677796e-05,-0.15698202101738923
episode_68,mixed,272,273,False,82.03889516345937,19,0.0398147888481617,0.0036625564098358154,0.0,,0.010080799352480081,-0.006375342515699816,-0.13124019568310408
episode_69,mixed,274,275,False,84.155692625463,19,0.04043155163526535,0.00034299492835998535,0.0,,-0.010039893013111225,-0.010935223352209492,-0.43937738612505606
episode_70,mixed,149,150,False,76.00181246417361,1,0.4148653745651245,0.033839620649814606,0.0,RuntimeError('motion planning failed'),0.0033666606812681257,0.0058742890502833725,-0.05324567830756283
episode_71,mixed,287,288,False,85.16246639233336,19,0.040957555174827576,0.00038626790046691895,0.0,,-0.0035625327767241314,0.0008370976781244526,-0.3301469725902458
episode_72,mixed,175,176,False,76.20604124021226,1,0.3215157687664032,0.2619951665401459,0.0,RuntimeError('motion planning failed'),0.009294053902370054,0.005977004654820234,-0.2658634874566017
episode_73,mixed,437,438,True,3.9637776968979073,14,0.0016331627266481519,0.0035487711429595947,0.0,,-0.010207866768497727,0.004192355852917207,-0.14712722169123743
episode_74,mixed,295,296,False,78.29512885166272,20,0.03983436897397041,0.023978691548109055,0.0,,-0.0068247633972813755,-0.0014464691612596295,-0.0664807946702567
episode_75,mixed,280,281,False,82.29375404851656,20,0.04100169613957405,0.0012856721878051758,0.0,,-0.007123197425941092,0.0001948250224803657,-0.28793765988874387
episode_76,mixed,175,176,False,78.10901699141763,1,0.31883713603019714,0.07918611168861389,0.0,RuntimeError('motion planning failed'),0.008457315832546525,0.00432876015798234,-0.09496499549240678
episode_77,mixed,241,242,False,0.0,0,0.3577556610107422,0.7189309597015381,0.0,,0.0032678724999532314,-0.009793023782021336,-0.4168540533651688
episode_78,mixed,303,304,False,85.76285973777226,20,0.04010897874832153,0.024172507226467133,0.0,,-0.00924058241782055,3.064439594298134e-05,-0.10005326358855193
episode_79,mixed,299,300,False,81.79696356001831,20,0.0416637659072876,0.0025658607482910156,0.0,,-0.0024228166048357,0.0008277223616541575,-0.4895600696879746
episode_80,mixed,286,287,False,80.95221966863583,20,0.03991110250353813,0.002246841788291931,0.0,,-0.004531259853661794,-0.0036687279754635087,-0.1596781097279924
episode_81,mixed,299,300,False,79.98327847540985,20,0.039416030049324036,0.011349592357873917,0.0,,-0.00274007903936975,-0.011444517284298204,-0.04208687277181855
episode_82,mixed,427,428,True,77.28786267219999,15,0.001639562426134944,0.002450227737426758,0.0,,0.003688566528934699,0.006546124493757594,-0.32820174904897215
episode_83,mixed,423,424,True,1.9641431612863336,5,0.0018239511409774423,0.003072202205657959,0.0,,-0.002936439044403459,0.0028226084397645138,-0.25727030372431436
episode_84,mixed,262,263,False,72.69948485498352,17,0.0384615957736969,0.02813282608985901,0.0,,0.0014026504621398282,0.0034985121546940185,-0.32579586894236223
episode_85,mixed,303,304,False,77.46431811256659,21,0.041482023894786835,0.007066965103149414,0.0,,-0.003394659831967293,-0.005986493638211914,-0.2865494986997752
episode_86,mixed,278,279,False,76.78020089774857,19,0.04032038152217865,0.0005509853363037109,0.0,,0.009695898853764644,-0.0013480000435299958,-0.4455096583212933
episode_87,mixed,269,270,False,91.04404486306719,19,0.03806985914707184,0.0008074194192886353,0.0,,0.005627742783764995,-0.011329199201379725,-0.18522690292780047
episode_88,mixed,301,302,False,89.02133516644383,20,0.04055386409163475,0.007677361369132996,0.0,,-0.010536622487384871,-0.005156690789309352,-0.2473463170313301
episode_89,mixed,294,295,False,83.25729102688813,21,0.04063193500041962,0.052107781171798706,0.0,,0.003317088437243234,0.0017229926358964254,-0.12387746158317908
episode_90,mixed,425,426,True,76.90566397522315,16,0.0014546748716384172,0.004215121269226074,0.0,,0.002461242362338875,-0.008124865940601918,-0.4257242881807253
episode_91,mixed,442,443,False,0.30161074499558876,1,0.3915741741657257,0.25729191303253174,0.0,RuntimeError('motion planning failed'),-0.010432994312044735,-0.003549466292049972,-0.3443644626223409
episode_92,mixed,266,267,False,82.62022293475282,17,0.04049716517329216,0.025257229804992676,0.0,,-0.0110962982439141,-0.008041731012587455,-0.439178839134294
episode_93,mixed,226,227,False,79.29110470894364,1,0.38964909315109253,1.1217399835586548,0.0,,-0.011026368627144885,-0.006403628406083545,-0.3779765461672288
episode_94,mixed,220,221,False,0.0,0,0.38064488768577576,0.9623865485191345,0.0,,-0.00678690478119035,0.003657471548694509,-0.17534666005614447
episode_95,mixed,227,228,False,0.0,0,0.3492526710033417,0.9651715159416199,0.0,,-0.00824667732786272,-0.005999169519581233,-0.17757946767850252
episode_96,mixed,425,426,True,4.193693889699604,4,0.001662802416831255,0.002875596284866333,0.0,,0.00860779083699962,0.0016206807701239691,-0.3684225664778381
