task,seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,e_alpha,m_multi_correct,du_switch_detected,du_switch_location,yaw_switch_detected,yaw_switch_location,alpha_pre_du,alpha_pre_dv,alpha_pre_dw,alpha_pre_roll,alpha_pre_pitch,alpha_pre_yaw,delta_du,delta_dv,delta_dw,delta_roll,delta_pitch,delta_yaw
multigen,20270818,9,qualified,15,0,Pdiag pointwise (SE(3)),True,,0.010496668008272536,0.1691026770943159,True,True,0.7024187371178271,True,0.5780662917612789,0.974654898680109,0.31431003084535897,0.9042192904337851,0.8108415107569822,0.7778979875925488,0.814759347285595,0.45621773046127323,-0.24596043086744807,-0.08204039772626115,-0.18846354613918181,-0.22186210912406612,0.6545775676974983
multigen,20270818,9,qualified,15,0,Pdiag finite (SE(3)),True,,166.19388567400165,0.12373043366472612,True,True,0.6951643959460271,True,0.5821202591691246,0.7007165098694215,0.9045275531861627,0.9484993441497886,0.8544921610970814,0.7986330584447175,0.7820589132428853,0.3337134915735975,-0.042423592852839476,-0.017955919913072993,-0.08691044821066474,-0.24861645121931042,0.5600574970184737
multigen,20270818,10,qualified,15,1,Frame-weighted (SE(3)),True,,0.00549101599608548,0.23934321885584467,False,True,0.6985260249988718,True,0.6985260249988718,0.6480858937853009,0.6480858937853009,0.6480858937853009,0.6480858937853009,0.6480858937853009,0.6480858937853009,0.11502574035302171,0.11502574035302171,0.11502574035302171,0.11502574035302171,0.11502574035302171,0.11502574035302171
multigen,20270818,10,qualified,15,1,Full operator (SE(3)),True,,0.0005389620055211708,0.11054755417602806,True,True,0.694492339326508,True,0.5760829142941334,0.8302733131785645,0.7822153675461319,0.9426240599859884,0.8082500883144271,0.8113414318219304,0.8126751802649588,0.4566303863989879,-0.2166136637203847,-0.12678607554559795,-0.19108847142178353,-0.19077338594260984,0.6559979775745703
multigen,20270818,10,qualified,15,1,Pdiag pointwise (SE(3)),True,,0.01447719699353911,0.15869756036331956,True,True,0.6890990380488016,True,0.5762020949252936,0.5772520626421069,0.3502444947278368,0.7592708915441493,0.8056369872323973,0.8123743556826895,0.8107677709089622,0.3481522942302321,-0.2832531251750836,-0.2560164209221769,-0.19443812022393303,-0.1880793062009638,0.6542128487081031
multigen,20270818,10,qualified,15,1,Pdiag finite (SE(3)),True,,191.71991207900282,0.12229231167867993,True,True,0.6958439325686808,True,0.581067526153094,0.7645854174356518,0.7269308435469338,0.8440709970626713,0.8043851853204197,0.7600608065675847,0.7562552064066701,0.4100358783352391,-0.2905210928925811,-0.17374494821773168,-0.1948093393952096,-0.17753706764935673,0.5193673646057261
multigen,20270818,12,random,30,0,Frame-weighted (SE(3)),True,,0.008123898995108902,0.20789258236745686,False,True,0.7069326675407087,True,0.7069326675407087,0.7705161154108319,0.7705161154108319,0.7705161154108319,0.7705161154108319,0.7705161154108319,0.7705161154108319,0.19378280112314816,0.19378280112314816,0.19378280112314816,0.19378280112314816,0.19378280112314816,0.19378280112314816
multigen,20270818,12,random,30,0,Full operator (SE(3)),True,,0.0011568149930099025,0.12366727350269498,True,True,0.6986647885630703,True,0.5756598985338854,0.755613464600787,0.7471548347439281,0.9043449984369972,0.8047977213984445,0.7950010080347713,0.8187017929405128,0.3568460820736922,-0.24764213157035664,-0.05974773271369194,-0.19470433615472316,-0.20326133888176046,0.6629787074476275
multigen,20270818,12,random,30,0,Pdiag pointwise (SE(3)),True,,0.019411317000049166,0.15285666582703097,True,True,0.7007168930746405,True,0.5754119968214113,0.8773819782478859,0.38286437708164733,0.8328983443762945,0.8084539345585402,0.7940599297657939,0.818357481714186,0.4070238342016477,-0.28182076801254563,-0.14489419927478497,-0.19006100768518486,-0.2048324281593974,0.6631837382802059
multigen,20270818,12,random,30,0,Pdiag finite (SE(3)),True,,203.8489916739927,0.12407175735560398,True,True,0.6964301003083081,True,0.5808231406090796,0.7699014112018938,0.7875657977936814,0.9252275277422819,0.8322960183256903,0.8000974077388097,0.7552646973253725,0.38919540048189627,-0.18231950795725038,-0.05115101801573452,-0.1411333591201278,-0.20071554238929346,0.5120270783824394
multigen,20280818,5,qualified,8,2,Frame-weighted (SE(3)),True,,0.008574049003073014,0.2167724030585246,False,False,,False,,0.9672619216912745,0.9672619216912745,0.9672619216912745,0.9672619216912745,0.9672619216912745,0.9672619216912745,0.23052488404298044,0.23052488404298044,0.23052488404298044,0.23052488404298044,0.23052488404298044,0.23052488404298044
multigen,20280818,5,qualified,8,2,Full operator (SE(3)),True,,0.0016008319944376126,0.9614608470674917,True,True,0.7102519823186919,True,0.5837878103658933,0.787352427037854,-0.4825318012793658,0.6087794325333842,0.8218618423272334,0.8578989141757587,0.8010670353684649,0.35975804000567024,-1.4578658111941158,-0.28665392390313127,-0.17846875592557454,-0.11643946821604545,0.6217401717469795
multigen,20280818,5,qualified,8,2,Pdiag pointwise (SE(3)),True,,0.021466283986228518,0.19530893701106233,True,True,0.7304224381138962,True,0.571328315078225,1.366100644224409,0.803083103529924,0.7931413908821628,0.815818031995975,0.8241686469135321,0.8251192114371316,0.5062285014957807,-0.1879229763280693,-0.24051559932192468,-0.18476931794462337,-0.17393467288865416,0.6765094787153687
multigen,20280818,5,qualified,8,2,Pdiag finite (SE(3)),True,,44.16366427000321,0.13122667446271177,True,True,0.6969204472967223,True,0.5751045341855953,0.8076808627007,0.7676703494300162,0.8270097555635282,0.8236848675113854,0.8334842943931691,0.8180884280156786,0.38109937340211875,-0.13354132327785317,-0.16319553881186843,-0.24779922372481267,-0.147679935228904,0.6081317576107605
multigen,20260818,9,qualified,15,0,Frame-weighted (SE(3)),True,,0.08147684400319122,0.21433246124685557,False,True,0.708270430502791,True,0.708270430502791,0.7309402366645888,0.7309402366645888,0.7309402366645888,0.7309402366645888,0.7309402366645888,0.7309402366645888,0.15868739878759242,0.15868739878759242,0.15868739878759242,0.15868739878759242,0.15868739878759242,0.15868739878759242
multigen,20260818,9,qualified,15,0,Full operator (SE(3)),True,,0.02250916800403502,0.12313506485702415,True,True,0.6970921956796038,True,0.578839972310583,0.6945720767278111,0.8437842185974479,0.8580239430780352,0.801429276195046,0.8389251460434481,0.8218089772691698,0.3014626695028962,-0.13748728889590722,-0.07790494511610135,-0.19673233566427006,-0.15879718254346564,0.6577933628749038
multigen,20260818,9,qualified,15,0,Pdiag pointwise (SE(3)),True,,0.11805819701112341,0.2092807010198432,True,True,0.702363201450818,True,0.5767521674107026,0.972237175064283,0.3400679590186976,0.8395312964958481,0.7685353812381182,0.843771592873754,0.8225237290892545,0.45178183728474886,-0.21043563296283596,-0.16782064832212362,-0.22783439317323018,-0.1538425675798779,0.6627722969798668
multigen,20260818,9,qualified,15,0,Pdiag finite (SE(3)),True,,567.7640926069871,0.12859371884135254,True,True,0.695010832870546,True,0.5809430774990361,0.7099790808260298,0.9438156334919597,0.8502818721977776,0.833868400706359,0.8145297756448459,0.7700544181212071,0.3418583553268946,0.004633501114004734,-0.13562664780384093,-0.11633843738037053,-0.23594535232259706,0.5498840114716477
multigen,20270818,11,qualified,15,2,Frame-weighted (SE(3)),True,,0.007888260995969176,0.2689195739697205,False,True,0.6802187222330047,True,0.6802187222330047,0.5747743274677151,0.5747743274677151,0.5747743274677151,0.5747743274677151,0.5747743274677151,0.5747743274677151,0.11235151280965155,0.11235151280965155,0.11235151280965155,0.11235151280965155,0.11235151280965155,0.11235151280965155
multigen,20270818,11,qualified,15,2,Full operator (SE(3)),True,,0.004058362988871522,0.11554618855150828,True,True,0.6886238747845882,True,0.5733985870654235,0.7766445696373119,0.7991834854080448,0.906873135525408,0.7974791622527754,0.8290314415275221,0.8173288782676945,0.38104956461962414,-0.2014112983379266,-0.17236933158315226,-0.20383042222673742,-0.17176951405250251,0.6614094380409098
multigen,20270818,11,qualified,15,2,Pdiag pointwise (SE(3)),True,,0.0209028610115638,0.20587656927401587,False,False,,True,0.5734671451214846,-0.08231587234476496,0.5993655655204291,0.940898434386685,0.7805414990330106,0.8241610263827336,0.8193076420577566,0.19944539065643052,-0.1751159606326469,-0.15325918148511064,-0.2197989043492543,-0.17821775297804965,0.6647844840305253
multigen,20270818,11,qualified,15,2,Pdiag finite (SE(3)),True,,248.92830492800567,0.11963133405809534,True,True,0.6897531861567983,True,0.5774296704612133,0.7635881191397516,0.7914194786177766,0.843583643476179,0.7951336432137964,0.8123705563099278,0.8159277326556265,0.3620974207861137,-0.14764699728168873,-0.14604374428019695,-0.17340011491559293,-0.21351899241737293,0.5938554848292249
multigen,20280818,3,qualified,8,0,Frame-weighted (SE(3)),True,,0.0045308720000321046,0.22753466360527602,False,False,,False,,0.7307275659321051,0.7307275659321051,0.7307275659321051,0.7307275659321051,0.7307275659321051,0.7307275659321051,0.0453676185930848,0.0453676185930848,0.0453676185930848,0.0453676185930848,0.0453676185930848,0.0453676185930848
multigen,20280818,3,qualified,8,0,Full operator (SE(3)),True,,0.0010153969924431294,0.9679553929535185,False,True,0.7055289816860432,True,0.585796907945773,0.21674822062616556,1.3891765984520985,-0.4869665552413094,0.8079505701586,0.8681667395709236,0.8477578140487984,-0.3258793384626956,0.3295952953649941,-1.37266950049441,-0.1924748362743468,-0.11263093907959376,0.6738900915005093
multigen,20280818,3,qualified,8,0,Pdiag pointwise (SE(3)),True,,0.01236653298838064,0.3772428353729619,False,False,,True,0.5780863842830771,-0.47764456574702163,1.2732928705260123,0.5979960472008855,0.8239318074735722,0.8412121775331404,0.8259471113323662,-0.09931526179255512,-0.008375865083806833,-0.46142573662620834,-0.1765404517676954,-0.16015086724111172,0.6645189722918957
multigen,20280818,3,qualified,8,0,Pdiag finite (SE(3)),True,,136.53086505700776,0.12990046089935287,False,True,0.7034308637310849,True,0.582758236413549,0.6747211361132014,0.9817290387391105,0.7838876912488203,0.8220751417797894,0.8230827810064296,0.851497495608306,0.18899436860718738,0.016850628036184645,-0.2301746825804304,-0.16048494204073305,-0.2149169580199548,0.615545433200022
multigen,20280818,1,random,8,1,Frame-weighted (SE(3)),True,,0.004166271013673395,0.19321107623803416,False,False,,False,,0.8024630325468541,0.8024630325468541,0.8024630325468541,0.8024630325468541,0.8024630325468541,0.8024630325468541,0.09864380318325172,0.09864380318325172,0.09864380318325172,0.09864380318325172,0.09864380318325172,0.09864380318325172
multigen,20280818,1,random,8,1,Full operator (SE(3)),True,,0.0005945899902144447,0.12792497240671927,True,True,0.6879069294819243,True,0.5729412109948259,0.7609659068375,0.6939078020092119,0.9802311853531671,0.824214711899212,0.841956066861482,0.8288134716361162,0.3567747788090637,-0.3157006398895875,0.03684123823672525,-0.17928495142196765,-0.1595689191745968,0.6795290648575496
