condition,progress,mean,sd
free_yaw_push,0.16666666666666666,5.396603356903038e-07,2.285266039762695e-06
free_yaw_push,0.17708333333333331,8.652970503611167e-07,3.6680521583724154e-06
free_yaw_push,0.1875,1.1426119147170533e-06,4.845772893052265e-06
free_yaw_push,0.19791666666666666,1.487573510677994e-06,6.31029024013737e-06
free_yaw_push,0.20833333333333331,2.1796544267292544e-06,9.24715794646939e-06
free_yaw_push,0.21875,3.832473379760856e-06,1.6259595976481624e-05
free_yaw_push,0.22916666666666666,9.364014060787557e-06,3.377398282746982e-05
free_yaw_push,0.23958333333333331,0.0005145498597271789,0.0007207062542183275
free_yaw_push,0.25,0.00372385096180371,0.005460159486825714
free_yaw_push,0.25,0.00372385096180371,0.005460159486825714
free_yaw_push,0.2604166666666667,0.004310148349980046,0.006181294913065732
free_yaw_push,0.2708333333333333,0.0032724578227448435,0.004242367114078311
free_yaw_push,0.28125,0.002944690487855351,0.003248418337955668
free_yaw_push,0.2916666666666667,0.003072641344047328,0.0031167946093740126
free_yaw_push,0.3020833333333333,0.003218013446483316,0.0032281864790674013
free_yaw_push,0.3125,0.003303609409711068,0.003318600854553434
free_yaw_push,0.32291666666666663,0.0033854338627654695,0.003374111127983188
free_yaw_push,0.3333333333333333,0.003529308340954912,0.0034660651897993
free_yaw_push,0.34375,0.0037764857137677385,0.0036735557262475736
free_yaw_push,0.35416666666666663,0.004141087923898859,0.004038807811293003
free_yaw_push,0.3645833333333333,0.004629219595141693,0.00456790824406795
free_yaw_push,0.375,0.005247995891062913,0.005234485917912014
free_yaw_push,0.38541666666666663,0.006018215162640541,0.006022436567088125
free_yaw_push,0.3958333333333333,0.007017067308592919,0.006986177233934783
free_yaw_push,0.40625,0.008414073315515882,0.008272301830409813
free_yaw_push,0.41666666666666663,0.010471659150268292,0.01010118656914184
free_yaw_push,0.4270833333333333,0.013511486223010112,0.012713463990413008
free_yaw_push,0.4375,0.017826875819214157,0.016261542270923055
free_yaw_push,0.44791666666666663,0.023521688592926818,0.020617326874447558
free_yaw_push,0.4583333333333333,0.030312052823607345,0.025203894115553203
free_yaw_push,0.46875,0.03735047951918123,0.029226414896466837
free_yaw_push,0.47916666666666663,0.043383718052133174,0.032156530251766235
free_yaw_push,0.4895833333333333,0.04748761871912656,0.03377440232384401
free_yaw_push,0.5,0.049538415708326025,0.03423544230807613
free_yaw_push,0.5,0.049538415708326025,0.03423544230807613
free_yaw_push,0.5104166666666666,0.050003282081345087,0.03412776844146248
free_yaw_push,0.5208333333333334,0.04966820159085338,0.03393447657360233
free_yaw_push,0.53125,0.049241720728202446,0.033844746254911115
free_yaw_push,0.5416666666666666,0.049069520530631246,0.0338793767818951
free_yaw_push,0.5520833333333334,0.049164163294967304,0.03398437581621594
free_yaw_push,0.5625,0.049385006443122,0.03406887100817195
free_yaw_push,0.5729166666666666,0.04957919033033034,0.03406843443206541
free_yaw_push,0.5833333333333334,0.04965445718090763,0.03398934778673363
free_yaw_push,0.59375,0.04960238752274069,0.033891147934511645
free_yaw_push,0.6041666666666666,0.04947836935657987,0.03383888546250085
free_yaw_push,0.6145833333333334,0.04935946777378256,0.033860579214322326
free_yaw_push,0.625,0.049301265960705234,0.03393759756262286
free_yaw_push,0.6354166666666666,0.0493154926185072,0.03402475275964448
free_yaw_push,0.6458333333333333,0.049377343226103564,0.03407757067997516
free_yaw_push,0.65625,0.049448137044621775,0.0340732127494224
free_yaw_push,0.6666666666666666,0.0494964369931422,0.034018126832784254
free_yaw_push,0.6770833333333333,0.04950939535421138,0.03394129346408527
free_yaw_push,0.6875,0.04949176363736467,0.03387954633848483
free_yaw_push,0.6979166666666666,0.04945771164471447,0.03386022862665975
free_yaw_push,0.7083333333333333,0.04942316121024656,0.033887584996392814
free_yaw_push,0.71875,0.04940089598005094,0.03394202965362067
free_yaw_push,0.7291666666666666,0.0493961503693512,0.03399489927881255
free_yaw_push,0.7395833333333333,0.049405023967793525,0.0340256735412232
free_yaw_push,0.75,0.04942058971262881,0.034025650681775814
free_yaw_push,0.75,0.04942058971262881,0.034025650681775814
free_yaw_push,0.7604166666666666,0.04943741671169887,0.03399778348342747
free_yaw_push,0.7708333333333334,0.04945076783338717,0.03395723939887179
free_yaw_push,0.78125,0.04945794137614284,0.03392259816096592
free_yaw_push,0.7916666666666666,0.04945835012586468,0.03390683062453119
free_yaw_push,0.8020833333333334,0.049452128790244826,0.03391381029787023
free_yaw_push,0.8125,0.04944045794482745,0.03393841476482967
free_yaw_push,0.8229166666666666,0.049426791009361724,0.03396926834155528
free_yaw_push,0.8333333333333334,0.04941631298242663,0.03399358747557159
free_yaw_push,0.84375,0.04941346939442265,0.03400235004542788
free_yaw_push,0.8541666666666666,0.04941932058224868,0.033994138270118095
free_yaw_push,0.8645833333333334,0.04942994305680072,0.03397668052483824
free_yaw_push,0.875,0.04943954514447505,0.03396059588947885
free_yaw_push,0.8854166666666666,0.04944580750269961,0.03394996497451657
free_yaw_push,0.8958333333333333,0.049448507811895165,0.03394446895322744
free_yaw_push,0.90625,0.04944713513021341,0.033944114609668743
free_yaw_push,0.9166666666666666,0.04944168702190903,0.033948930633274026
free_yaw_push,0.9270833333333333,0.04943374202062551,0.03395754920697236
free_yaw_push,0.9375,0.04942666851459801,0.033966641799804735
free_yaw_push,0.9479166666666666,0.04942452305750253,0.03397197339039594
free_yaw_push,0.9583333333333333,0.049429359137292135,0.033971264182148825
free_yaw_push,0.96875,0.04943770430304952,0.03396776911274599
free_yaw_push,0.9791666666666666,0.049441709728181474,0.033967288681165046
free_yaw_push,0.9895833333333333,0.0494379791683155,0.03396632856031532
free_yaw_push,1.0,0.04942948982885145,0.033955941250085275
