seed,subset_id,model,episode,generator,task_error_mm_equiv,task_endpoint_error_mm_equiv
20260818,102,Full operator,episode_5,translation,1.2637893005422212,0.19609974619320014
20260818,102,Full operator,episode_7,translation,1.1406840740433568,0.045964068728238744
20260818,102,Full operator,episode_8,translation,2.0820104598203275,0.904438061585026
20260818,102,Full operator,episode_9,translation,0.8504053499756655,0.10741447713099977
20260818,102,Generic RBF,episode_0,yaw,1.6567018109779303,0.28142711416300037
20260818,102,Generic RBF,episode_1,yaw,0.5650852323141315,0.2930581288147566
20260818,102,Generic RBF,episode_3,yaw,1.4750289535748538,0.3382010032139553
20260818,102,Generic RBF,episode_4,yaw,1.1498403798754608,0.412063636864154
20260818,102,Generic RBF,episode_5,translation,1.2837708154052085,0.22902908371937505
20260818,102,Generic RBF,episode_7,translation,1.161525921446444,0.4317694145673568
20260818,102,Generic RBF,episode_8,translation,2.069573650573425,0.8040264182292371
20260818,102,Generic RBF,episode_9,translation,0.9343442160155339,0.42124157954399427
20260818,103,Pdiag finite,episode_0,yaw,2.226284644899059,0.10550942167185502
20260818,103,Pdiag finite,episode_1,yaw,1.2132974345434342,0.30539673706568077
20260818,103,Pdiag finite,episode_3,yaw,2.534075517206651,0.24241742116124645
20260818,103,Pdiag finite,episode_4,yaw,1.398792504666624,0.07844623729748582
20260818,103,Pdiag finite,episode_5,translation,1.4332249427575363,0.7940196445117942
20260818,103,Pdiag finite,episode_7,translation,2.542844993262032,0.6137992372439892
20260818,103,Pdiag finite,episode_8,translation,2.386743335360521,1.2594573874978512
20260818,103,Pdiag finite,episode_9,translation,2.9449787019163343,0.16421958958546481
20260818,103,Full operator,episode_0,yaw,2.98918792199125,0.36727301356751546
20260818,103,Full operator,episode_1,yaw,2.2173888732518257,0.03723357446652239
20260818,103,Full operator,episode_3,yaw,2.8093478931916893,0.15552458187882742
20260818,103,Full operator,episode_4,yaw,1.5785035721089349,0.09185735530244257
20260818,103,Full operator,episode_5,translation,0.9914570169223083,0.09202738903973284
20260818,103,Full operator,episode_7,translation,4.215995501155918,0.10496416598036579
20260818,103,Full operator,episode_8,translation,4.791984735746511,0.9735141156671335
20260818,103,Full operator,episode_9,translation,7.68572002390641,0.03195905495741051
20260818,103,Generic RBF,episode_0,yaw,4.546876467362347,3.4630836397109808
20260818,103,Generic RBF,episode_1,yaw,3.9972702279550476,3.5619880915033186
20260818,103,Generic RBF,episode_3,yaw,4.376419351625543,3.8313793139501056
20260818,103,Generic RBF,episode_4,yaw,3.6596438723792706,3.97333767552633
20260818,103,Generic RBF,episode_5,translation,1.8330593676892526,1.9020716620752525
20260818,103,Generic RBF,episode_7,translation,5.9397076919429175,5.466776836145132
20260818,103,Generic RBF,episode_8,translation,5.334616721919751,2.9752686592138913
20260818,103,Generic RBF,episode_9,translation,9.417103420241636,4.56837057524718
20260818,104,Pdiag finite,episode_0,yaw,2.259553536272542,0.13011873802421212
20260818,104,Pdiag finite,episode_1,yaw,1.6418338833046935,0.32918286646983647
20260818,104,Pdiag finite,episode_3,yaw,2.844192094512433,0.2666813740866002
20260818,104,Pdiag finite,episode_4,yaw,1.6167072241287355,0.09939125940041775
20260818,104,Pdiag finite,episode_5,translation,1.7694374091047542,0.8962192914800482
20260818,104,Pdiag finite,episode_7,translation,2.9962056998850546,0.6910261717846313
20260818,104,Pdiag finite,episode_8,translation,2.526380420980602,1.198930223984069
20260818,104,Pdiag finite,episode_9,translation,3.5701092700551955,0.2633471653090013
20260818,104,Full operator,episode_0,yaw,4.553896422264205,0.28913229195920137
20260818,104,Full operator,episode_1,yaw,3.9975596630904433,0.041432720329742365
20260818,104,Full operator,episode_3,yaw,3.6936779527182804,0.021286172719552666
20260818,104,Full operator,episode_4,yaw,2.528569517232724,0.17452801144954289
20260818,104,Full operator,episode_5,translation,3.898802968094651,0.052749866081685845
20260818,104,Full operator,episode_7,translation,3.903388073796151,0.025865784164033727
20260818,104,Full operator,episode_8,translation,7.159277342089258,0.7998642767954106
20260818,104,Full operator,episode_9,translation,12.961192621523196,0.026752748183336755
20260818,104,Generic RBF,episode_0,yaw,6.000827315953626,3.2415169242086126
20260818,104,Generic RBF,episode_1,yaw,5.617063825458618,3.47635792147972
20260818,104,Generic RBF,episode_3,yaw,5.402748494482346,3.979266510930264
20260818,104,Generic RBF,episode_4,yaw,4.621048498355484,4.246407996474209
20260818,104,Generic RBF,episode_5,translation,5.807263882623788,3.8262391578372372
20260818,104,Generic RBF,episode_7,translation,4.865410296749217,3.605768580624014
20260818,104,Generic RBF,episode_8,translation,7.623119391091153,3.0825527894000353
20260818,104,Generic RBF,episode_9,translation,14.422633928371752,4.48350435329153
20260818,105,Pdiag finite,episode_0,yaw,2.5584502542725582,0.2528892884904375
20260818,105,Pdiag finite,episode_1,yaw,1.1583818850471927,0.4237404080161164
20260818,105,Pdiag finite,episode_3,yaw,2.3834820720810685,0.3693692753774827
20260818,105,Pdiag finite,episode_4,yaw,1.4293891141646338,0.23114317061822048
20260818,105,Pdiag finite,episode_5,translation,2.09553522382887,1.058166087072044
20260818,105,Pdiag finite,episode_7,translation,2.3807161871535074,0.6344313474896317
20260818,105,Pdiag finite,episode_8,translation,2.247913177228339,1.5024808716392442
20260818,105,Pdiag finite,episode_9,translation,2.6312452359177625,0.2326873265491056
