success,depth,lateral_mm,axis_err_deg,steps,solver_error,source,target,block,theta_deg,method,endpoint_pass
True,0.07025915786012824,0.26030774379187854,5.741147950252776,727,EpisodeFinished,lift_early,lift_late,3,-10.0,rigid,False
True,0.07180027831284445,2.0309842186691185,0.5372401618332832,658,EpisodeFinished,lift_early,lift_late,3,-10.0,source,True
True,0.07143522506713045,1.7775755082514746,0.5627121250432292,666,EpisodeFinished,lift_early,lift_late,3,-10.0,target,True
True,0.07008944117696028,1.2102995622236512,2.815228098508128,665,EpisodeFinished,lift_early,lift_late,3,10.0,no_adapt,True
True,0.07129765108687339,1.62541093206948,0.25474108316232275,667,EpisodeFinished,lift_early,lift_late,3,10.0,rigid,True
True,0.07172842940555366,1.270964391915267,1.1053422132661515,646,EpisodeFinished,lift_early,lift_late,3,10.0,source,True
True,0.07039510786171654,1.4203901830003938,0.7176020323989009,659,EpisodeFinished,lift_early,lift_late,3,10.0,target,True
False,0.09424630933365101,16.93419119526062,1.1101071239858815,708,,lift_early,lift_late,4,-5.0,no_adapt,False
True,0.07174159417817542,1.7146128603166428,1.0377264354124929,694,EpisodeFinished,lift_early,lift_late,4,-5.0,rigid,True
True,0.07166749143179832,1.935029586220519,1.2457076166300853,654,EpisodeFinished,lift_early,lift_late,4,-5.0,source,True
True,0.07157042348937945,1.7972591808384761,0.3253238311584114,663,EpisodeFinished,lift_early,lift_late,4,-5.0,target,True
True,0.06983307019678872,2.2385269020061473,3.9790680005293826,666,EpisodeFinished,lift_early,lift_late,4,5.0,no_adapt,False
True,0.07170386094618243,1.8908589107049347,1.1497966062008853,655,EpisodeFinished,lift_early,lift_late,4,5.0,rigid,True
True,0.07126782214439296,1.7426249423675162,0.1113145277506068,668,EpisodeFinished,lift_early,lift_late,4,5.0,source,True
True,0.07092573061199996,1.7519189710847787,1.3051202305688527,671,EpisodeFinished,lift_early,lift_late,4,5.0,target,True
False,0.09413373843698582,21.596019627981747,0.6100969892970157,718,,lift_early,lift_late,4,-10.0,no_adapt,False
False,0.06904479048220027,2.5193370282220453,14.511524070993934,758,,lift_early,lift_late,4,-10.0,rigid,False
True,0.07122635753243907,1.9181810221423448,0.36042836213005885,683,EpisodeFinished,lift_early,lift_late,4,-10.0,source,True
True,0.07160462384623419,1.9046198113282655,0.7521587875351985,683,EpisodeFinished,lift_early,lift_late,4,-10.0,target,True
True,0.0715516079695969,0.7218574099761861,3.965650947678539,675,EpisodeFinished,lift_early,lift_late,4,10.0,no_adapt,False
True,0.07043743877252304,1.6585865953649281,1.440635452570137,674,EpisodeFinished,lift_early,lift_late,4,10.0,rigid,True
True,0.07056345091896764,1.6045338815698318,0.11372048856617023,674,EpisodeFinished,lift_early,lift_late,4,10.0,source,True
True,0.07155846803292881,1.8247493387540399,0.17090456652523592,672,EpisodeFinished,lift_early,lift_late,4,10.0,target,True
True,0.07173642779725758,2.1176988682684073,3.874654898687398,645,EpisodeFinished,lift_early,diagonal_early,0,-5.0,no_adapt,False
True,0.07125164295115537,1.7271297073007288,2.429808207607125,667,EpisodeFinished,lift_early,diagonal_early,0,-5.0,rigid,True
True,0.07104211532894074,1.5025334667900376,2.53596941098981,662,EpisodeFinished,lift_early,diagonal_early,0,-5.0,source,True
True,0.07129080390237931,1.7560565993523451,2.4404458003525966,658,EpisodeFinished,lift_early,diagonal_early,0,-5.0,target,True
True,0.07090562912774562,1.3743916676763583,3.8542629420335017,647,EpisodeFinished,lift_early,diagonal_early,0,5.0,no_adapt,False
True,0.07142257032741038,1.7219987539953334,2.654566040973561,642,EpisodeFinished,lift_early,diagonal_early,0,5.0,rigid,True
True,0.07131392699702128,1.6050917730129286,2.533891966265068,658,EpisodeFinished,lift_early,diagonal_early,0,5.0,source,True
True,0.07133953519402716,1.6481342093536666,2.4065166222071466,647,EpisodeFinished,lift_early,diagonal_early,0,5.0,target,True
False,0.09408043153655087,17.973205711443434,0.54806521125496,696,,lift_early,diagonal_early,0,-10.0,no_adapt,False
True,0.07140021338220334,1.7963636201038031,2.4340655498941586,681,EpisodeFinished,lift_early,diagonal_early,0,-10.0,rigid,True
True,0.07147205076647484,1.8297984204923115,2.434939387221097,682,EpisodeFinished,lift_early,diagonal_early,0,-10.0,source,True
