seed,protocol,sample_size,model,value,metric
20280818,qualified,5,Generic RBF,4.7727533619210805,task_endpoint_error_mean_mm_equiv
20280818,random,8,Pdiag finite,0.6448992382601475,task_endpoint_error_mean_mm_equiv
20280818,random,8,Full operator,0.23500416759103238,task_endpoint_error_mean_mm_equiv
20280818,random,8,Generic RBF,2.522750282585586,task_endpoint_error_mean_mm_equiv
20280818,qualified,8,Pdiag finite,0.6671826687483395,task_endpoint_error_mean_mm_equiv
20280818,qualified,8,Full operator,0.21949790335148683,task_endpoint_error_mean_mm_equiv
20280818,qualified,8,Generic RBF,4.062166226742853,task_endpoint_error_mean_mm_equiv
20280818,random,10,Pdiag finite,0.5774121978336151,task_endpoint_error_mean_mm_equiv
20280818,random,10,Full operator,0.18275270145752837,task_endpoint_error_mean_mm_equiv
20280818,random,10,Generic RBF,4.492403670319886,task_endpoint_error_mean_mm_equiv
20280818,qualified,10,Pdiag finite,0.578198472339483,task_endpoint_error_mean_mm_equiv
20280818,qualified,10,Full operator,0.18561862529129156,task_endpoint_error_mean_mm_equiv
20280818,qualified,10,Generic RBF,2.016752207298974,task_endpoint_error_mean_mm_equiv
20280818,random,15,Pdiag finite,0.4051516346698099,task_endpoint_error_mean_mm_equiv
20280818,random,15,Full operator,0.1852248931862314,task_endpoint_error_mean_mm_equiv
20280818,random,15,Generic RBF,3.319066501443191,task_endpoint_error_mean_mm_equiv
20280818,qualified,15,Pdiag finite,0.5522995305720934,task_endpoint_error_mean_mm_equiv
20280818,qualified,15,Full operator,0.19567255546959506,task_endpoint_error_mean_mm_equiv
20280818,qualified,15,Generic RBF,1.7825241341222626,task_endpoint_error_mean_mm_equiv
20280818,random,20,Pdiag finite,0.36625994955201796,task_endpoint_error_mean_mm_equiv
20280818,random,20,Full operator,0.1795678409029294,task_endpoint_error_mean_mm_equiv
20280818,random,20,Generic RBF,2.08058153762328,task_endpoint_error_mean_mm_equiv
20280818,qualified,20,Pdiag finite,0.4012811866328124,task_endpoint_error_mean_mm_equiv
20280818,qualified,20,Full operator,0.18119617676272187,task_endpoint_error_mean_mm_equiv
20280818,qualified,20,Generic RBF,3.208087670282487,task_endpoint_error_mean_mm_equiv
20290818,random,3,Pdiag finite,1.0708645172997653,task_endpoint_error_mean_mm_equiv
20290818,random,3,Full operator,6.211403380499783,task_endpoint_error_mean_mm_equiv
20290818,random,3,Generic RBF,23.30396150281524,task_endpoint_error_mean_mm_equiv
20290818,qualified,3,Pdiag finite,1.4397789234383769,task_endpoint_error_mean_mm_equiv
20290818,qualified,3,Full operator,6.326243588859376,task_endpoint_error_mean_mm_equiv
20290818,qualified,3,Generic RBF,28.849896146704925,task_endpoint_error_mean_mm_equiv
20290818,random,5,Pdiag finite,0.6327351071394485,task_endpoint_error_mean_mm_equiv
20290818,random,5,Full operator,0.40596647057705243,task_endpoint_error_mean_mm_equiv
20290818,random,5,Generic RBF,4.923698219489167,task_endpoint_error_mean_mm_equiv
20290818,qualified,5,Pdiag finite,0.8883359364475633,task_endpoint_error_mean_mm_equiv
20290818,qualified,5,Full operator,0.4772098063692457,task_endpoint_error_mean_mm_equiv
20290818,qualified,5,Generic RBF,1.727526058239843,task_endpoint_error_mean_mm_equiv
20290818,random,8,Pdiag finite,0.6443275756140829,task_endpoint_error_mean_mm_equiv
20290818,random,8,Full operator,0.42144673541289485,task_endpoint_error_mean_mm_equiv
20290818,random,8,Generic RBF,7.637544284586724,task_endpoint_error_mean_mm_equiv
20290818,qualified,8,Pdiag finite,0.6940164171423246,task_endpoint_error_mean_mm_equiv
20290818,qualified,8,Full operator,0.21626437057492084,task_endpoint_error_mean_mm_equiv
20290818,qualified,8,Generic RBF,3.223349700061907,task_endpoint_error_mean_mm_equiv
20290818,random,10,Pdiag finite,0.6358534280739734,task_endpoint_error_mean_mm_equiv
20290818,random,10,Full operator,0.22692911275018696,task_endpoint_error_mean_mm_equiv
20290818,random,10,Generic RBF,6.432003534422951,task_endpoint_error_mean_mm_equiv
20290818,qualified,10,Pdiag finite,0.6097837927686709,task_endpoint_error_mean_mm_equiv
20290818,qualified,10,Full operator,0.2613553767917392,task_endpoint_error_mean_mm_equiv
20290818,qualified,10,Generic RBF,4.138994773501176,task_endpoint_error_mean_mm_equiv
20290818,random,15,Pdiag finite,0.4659696144752331,task_endpoint_error_mean_mm_equiv
20290818,random,15,Full operator,0.26524420378459873,task_endpoint_error_mean_mm_equiv
20290818,random,15,Generic RBF,4.2988899058683065,task_endpoint_error_mean_mm_equiv
20290818,qualified,15,Pdiag finite,0.5639934244948518,task_endpoint_error_mean_mm_equiv
