arm,seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,e_alpha,m_oop_correct,alpha_active_du,alpha_active_dv,alpha_active_dw,alpha_active_roll,alpha_active_pitch,alpha_active_yaw
heading_push,20270818,14,random,30,2,Pdiag finite (SE(3)),True,,79.23470908799209,0.055588647952077894,True,1.2357559067950963,0.9791589864280883,0.058469035435773746,0.020175095743,1.1697028711049123e-13,0.6792991564166929
heading_push,20280818,0,random,8,0,Frame-weighted (SE(3)),True,,0.007196672027930617,0.19870146690467438,False,0.6519416238092741,0.6519416238092741,0.6519416238092741,0.6519416238092741,0.6519416238092741,0.6519416238092741
heading_push,20280818,0,random,8,0,Full operator (SE(3)),True,,0.001906830002553761,0.16722286604286482,True,0.8494756345152523,1.2651980580753472,0.10320344021933436,0.030624373098974762,0.00624143811834749,0.6079276204348546
heading_push,20280818,0,random,8,0,Pdiag pointwise (SE(3)),True,,0.011126603931188583,0.08093412048357586,True,0.984851622319601,1.2204108416100936,0.08651601868703278,0.060703321105179765,0.0030767975090351036,0.6974577086996654
heading_push,20280818,0,random,8,0,Pdiag finite (SE(3)),True,,56.67265593295451,0.06316076384898851,True,0.9912859104981387,1.240279631665429,0.05986063169057896,0.04489693479401423,0.1782421543478796,0.6895654501896581
heading_push,20270818,15,qualified,30,0,Frame-weighted (SE(3)),True,,0.005335732945241034,0.1934125119291503,False,0.5777252152784639,0.5777252152784639,0.5777252152784639,0.5777252152784639,0.5777252152784639,0.5777252152784639
heading_push,20270818,15,qualified,30,0,Full operator (SE(3)),True,,0.00064668501727283,0.057946922717199915,True,1.3347719035445724,0.9873890443715805,0.02936341868062127,0.01833957847881258,0.013625651415201202,0.7025962613064315
heading_push,20270818,15,qualified,30,0,Pdiag pointwise (SE(3)),True,,0.012221656972542405,0.05802316328887161,True,1.228803691282546,0.9866409383310919,0.08403704031334795,0.012085178285661951,0.011043127312168177,0.6950263381286016
heading_push,20270818,15,qualified,30,0,Pdiag finite (SE(3)),True,,97.08620066090953,0.05643392084586511,True,1.2350805191267356,0.9823237225109765,0.06634400329477066,0.0038094946556021716,9.281812034359257e-10,0.6853446756058659
heading_push,20270818,13,random,30,1,Frame-weighted (SE(3)),True,,0.004557505017146468,0.19350368581483318,False,0.5947886086434836,0.5947886086434836,0.5947886086434836,0.5947886086434836,0.5947886086434836,0.5947886086434836
heading_push,20270818,13,random,30,1,Full operator (SE(3)),True,,0.0005202610045671463,0.05238124327687615,True,1.0054817256522284,1.0194089095880672,0.029684209870117127,0.013826921484799139,-0.00038033895356303857,0.7565910267055627
