sample_index,solver_phase,phase,phase_progress,source_progress,alpha_pitch_mean,alpha_pitch_sd_across_seeds,alpha_pitch_seed_20260910,alpha_pitch_seed_20270910,alpha_pitch_seed_20280910
72,5,unlock,0.9166666666666666,0.7291666666666666,0.9988364379599711,0.0034248111513398333,0.9953928664895936,1.0022421753181714,0.9988742720721481
73,5,unlock,0.9583333333333333,0.7395833333333333,0.9996831269730566,0.003107412247543181,0.9965180738375345,1.0027294977480927,0.9998018093335427
74,5,unlock,1.0,0.75,1.0003668463236235,0.0028664342970251373,0.9974306016725313,1.003157956211795,1.000511981086544
75,6,insert,0.0,0.75,1.0003668463236235,0.0028664342970251373,0.9974306016725313,1.003157956211795,1.000511981086544
76,6,insert,0.041666666666666664,0.7604166666666666,1.000647237671445,0.0028181874033999543,0.9977757581666135,1.0034089240029813,1.0007570308447402
77,6,insert,0.08333333333333333,0.7708333333333334,1.0005063199075621,0.0029773623210497444,0.9975128999742559,1.003467360512415,1.0005386992360157
78,6,insert,0.125,0.78125,1.000135494077827,0.0032552854028484826,0.9969057228860166,1.003415707446398,1.0000850519010667
79,6,insert,0.16666666666666666,0.7916666666666666,0.9998259322839546,0.0035069004669032815,0.9963713247731695,1.00338288521189,0.9997235868668044
80,6,insert,0.20833333333333331,0.8020833333333334,0.999819017718043,0.0036060982890466055,0.9962659477142601,1.0034759024298099,0.9997152030100591
81,6,insert,0.25,0.8125,1.0001900869853764,0.003508054414649682,0.9967125150339061,1.0037278492722128,1.0001298966500107
82,6,insert,0.29166666666666663,0.8229166666666666,1.0008208049686484,0.003266425712611485,0.997553316176277,1.0040861665625262,1.000822932167142
83,6,insert,0.3333333333333333,0.8333333333333334,1.0014683571732428,0.0030002885757195647,0.9984439822565723,1.004443964875443,1.0015171243877132
84,6,insert,0.375,0.84375,1.0018900772025232,0.002832890893392792,0.9990310216324666,1.004696057583671,1.0019431523914322
85,6,insert,0.41666666666666663,0.8541666666666666,1.0019593316753623,0.002835496352144344,0.9991201792746615,1.0047911577817916,1.0019666579696338
86,6,insert,0.4583333333333333,0.8645833333333334,1.0017203448439898,0.0029990022583444766,0.9987594907335396,1.0047560923639514,1.0016454514344786
87,6,insert,0.5,0.875,1.001362449412449,0.0032406360127879407,0.9982077572251179,1.0046826838185925,1.0011969071936366
88,6,insert,0.5416666666666666,0.8854166666666666,1.0011299591046583,0.003443864300045797,0.9978095536821475,1.004685256058887,1.0008950675729404
89,6,insert,0.5833333333333333,0.8958333333333333,1.0012101348239348,0.0035142403665759177,0.9978356274589797,1.00484915959621,1.0009456174166151
90,6,insert,0.625,0.90625,1.0016498509839191,0.003423333275162806,0.998361064921354,1.005193487387928,1.001395000642475
91,6,insert,0.6666666666666666,0.9166666666666666,1.0023369136755373,0.003220326157048213,0.9992345742263398,1.005663503917713,1.002112662882559
92,6,insert,0.7083333333333333,0.9270833333333333,1.0030507972097131,0.0030083567983004563,1.0001476944737777,1.0061543796017036,1.0028503175536578
93,6,insert,0.75,0.9375,1.0035572242670305,0.0028990401227666908,1.0007680257728178,1.0065548557824715,1.003348791245802
94,6,insert,0.7916666666666666,0.9479166666666666,1.003707617174207,0.0029648895649702395,1.000880590765468,1.0067934076868268,1.003448853070326
95,6,insert,0.8333333333333333,0.9583333333333333,1.003510605054549,0.0032041367694848836,1.000490498750458,1.0068715258062777,1.003169790606911
96,6,insert,0.875,0.96875,1.0031588459595138,0.003525194377328143,0.9998632575968688,1.0068757748406432,1.002737505441029
97,6,insert,0.9166666666666666,0.9791666666666666,1.0030095761614974,0.003754218832490464,0.9994999467862873,1.0069680322170937,1.0025607494811106
98,6,insert,0.9583333333333333,0.9895833333333333,1.0035272437617595,0.0036641768843320975,1.0000575088246724,1.0073589891093035,1.003165233351303
99,6,insert,1.0,1.0,1.0052024453210489,0.0030214009764310693,1.0022325680611832,1.008272860427117,1.0051019074748462
