model,global_progress,phase,phase_progress,alpha_x,alpha_y,g_translation,g_yaw
Pdiag finite,0.6145833333333334,Unlock yaw,0.4583333333333333,0.984154486192262,1.006800642679723,0.9954775644359924,0.4206487538875978
Pdiag finite,0.625,Unlock yaw,0.5,0.9812240072772312,1.006342950249397,0.9937834787633142,0.3320332141698897
Pdiag finite,0.6354166666666666,Unlock yaw,0.5416666666666666,0.97786367859024,1.0060321564937953,0.9919479175420176,0.2519342247089901
Pdiag finite,0.6458333333333333,Unlock yaw,0.5833333333333334,0.9744498378363996,1.0057348476289096,0.9900923427326546,0.1846802221851888
Pdiag finite,0.65625,Unlock yaw,0.625,0.971494921187298,1.0053345637715692,0.9884147424794336,0.1322160843807198
Pdiag finite,0.6666666666666666,Unlock yaw,0.6666666666666666,0.9694211418337382,1.0047859545248885,0.9871035481793132,0.0938449563696762
Pdiag finite,0.6770833333333333,Unlock yaw,0.7083333333333334,0.9683715902939704,1.0041322891707698,0.98625193973237,0.0671794041138668
Pdiag finite,0.6875,Unlock yaw,0.75,0.968156932234524,1.0034814299958132,0.9858191811151686,0.0493593798815927
Pdiag finite,0.6979166666666666,Unlock yaw,0.7916666666666666,0.968361150999158,1.0029537502523438,0.9856574506257508,0.0378495030154493
Pdiag finite,0.7083333333333333,Unlock yaw,0.8333333333333334,0.968543014040604,1.002627028779761,0.9855850214101824,0.0307296304133318
Pdiag finite,0.71875,Unlock yaw,0.875,0.9684267815029568,1.0025035365652306,0.9854651590340936,0.0266772514325154
Pdiag finite,0.7291666666666666,Unlock yaw,0.9166666666666666,0.9679942203660278,1.0025131328447436,0.9852536766053857,0.0248269757767433
Pdiag finite,0.7395833333333333,Unlock yaw,0.9583333333333334,0.967446797950452,1.0025487016147523,0.984997749782602,0.0245977903049906
Pdiag finite,0.75,Unlock yaw,1.0,0.9670684357568512,1.002515612171245,0.9847920239640482,0.0255171438975416
Pdiag finite,0.75,Circular insert,0.0,0.9670684357568512,1.002515612171245,0.9847920239640482,0.0255171438975416
Pdiag finite,0.7604166666666666,Circular insert,0.0416666666666666,0.9670619606129024,1.002372038859876,0.9847169997363892,0.0270686283863266
Pdiag finite,0.7708333333333334,Circular insert,0.0833333333333333,0.967440928729565,1.0021430328732082,0.9847919808013864,0.0286315902372122
Pdiag finite,0.78125,Circular insert,0.125,0.9680268794110292,1.0019040769040854,0.9849654781575572,0.0295927393440703
Pdiag finite,0.7916666666666666,Circular insert,0.1666666666666666,0.9685451772066098,1.0017433550742911,0.9851442661404504,0.0295959297031391
