model,task_key,sample_size,alpha_active_du,alpha_active_dv,alpha_active_dw,alpha_active_roll,alpha_active_pitch,alpha_active_yaw
Pdiag finite (SE(3)),bowl_on_plate,30,1.0101067848905076,1.0095166961676665,0.9694748114314802,0.02220467158550497,0.022610846398265123,0.027122251195766847
Frame-weighted (SE(3)),cream_cheese_in_bowl,8,0.5449176913494567,0.5449176913494567,0.5449176913494567,0.5449176913494567,0.5449176913494567,0.5449176913494567
Phase scalar GP (SE(3)),cream_cheese_in_bowl,8,0.5490613854503583,0.5490613854503583,0.5490613854503583,0.5490613854503583,0.5490613854503583,0.5490613854503583
TP-GMM additive (SE(3)),cream_cheese_in_bowl,8,0.9946470635181667,0.9943947615688309,0.9933960236115728,0.013094054935414823,0.013001446899938726,0.005009777359890648
TP-GMM SE(3),cream_cheese_in_bowl,8,0.9941949767946235,0.9935259573440179,0.9926773087159079,0.01522994232572398,0.01623296795392193,0.006871615624323368
Full operator (SE(3)),cream_cheese_in_bowl,8,0.9997050854577735,0.9980191585305455,0.9997995791068912,0.0,0.0,0.0
Pdiag pointwise (SE(3)),cream_cheese_in_bowl,8,0.9999999999999994,1.0,0.9999999999999998,0.0,0.0,0.0
Pdiag finite (SE(3)),cream_cheese_in_bowl,8,0.9993164485361677,0.9950185135126771,1.0037466006256321,0.02423770952499176,0.021973318243046117,0.02329322821388451
Frame-weighted (SE(3)),cream_cheese_in_bowl,15,0.5677945169886441,0.5677945169886441,0.5677945169886441,0.5677945169886441,0.5677945169886441,0.5677945169886441
Phase scalar GP (SE(3)),cream_cheese_in_bowl,15,0.5721121724182442,0.5721121724182442,0.5721121724182442,0.5721121724182442,0.5721121724182442,0.5721121724182442
TP-GMM additive (SE(3)),cream_cheese_in_bowl,15,0.9905989701971749,0.9910452245662833,0.9897324323425553,0.01337764673727467,0.015275319408479074,0.008125422580223049
TP-GMM SE(3),cream_cheese_in_bowl,15,0.9956118906299244,0.9956733068108155,0.995474715642508,0.007477857336683528,0.011701042801102993,0.003749017637544464
Full operator (SE(3)),cream_cheese_in_bowl,15,0.9999707503454803,0.9999779183433957,0.9999729202877747,0.0,0.0,0.0
Pdiag pointwise (SE(3)),cream_cheese_in_bowl,15,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.0,0.0,0.0
Pdiag finite (SE(3)),cream_cheese_in_bowl,15,0.9903733260383016,1.01877449964279,0.985375029794418,0.025860042241803712,0.025198715175409364,0.02319784087092422
Frame-weighted (SE(3)),cream_cheese_in_bowl,30,0.5458831204984889,0.5458831204984889,0.5458831204984889,0.5458831204984889,0.5458831204984889,0.5458831204984889
Phase scalar GP (SE(3)),cream_cheese_in_bowl,30,0.5500341562023583,0.5500341562023583,0.5500341562023583,0.5500341562023583,0.5500341562023583,0.5500341562023583
TP-GMM additive (SE(3)),cream_cheese_in_bowl,30,0.9975218822681184,0.9955667396193666,0.9961605346318207,0.01045829063469439,0.011212377560383846,0.007937018435578555
TP-GMM SE(3),cream_cheese_in_bowl,30,0.9973738942404994,0.9971854617477331,0.9949583927858333,0.011163042081608973,0.008791820051362365,0.010788936946801497
Full operator (SE(3)),cream_cheese_in_bowl,30,0.9999919727983634,0.9999903529101665,0.999988424330853,0.0,0.0,0.0
Pdiag pointwise (SE(3)),cream_cheese_in_bowl,30,0.9999999999999996,1.0,1.0000000000000002,0.0,0.0,0.0
Pdiag finite (SE(3)),cream_cheese_in_bowl,30,1.010097835526983,1.0095190269797591,0.9694189501307099,0.0222457550398627,0.022427583112407043,0.027073668041667623
Frame-weighted (SE(3)),wine_bottle_on_rack,8,0.8172106860700008,0.8172106860700008,0.8172106860700008,0.8172106860700008,0.8172106860700008,0.8172106860700008
