model,task_key,sample_size,mean,std,count
TP-GMM additive (SE(3)),moka_pot_on_stove,15,0.02130995344814094,0.0006605332213633862,18
TP-GMM SE(3),moka_pot_on_stove,15,0.019270368203592417,0.0008501899853237933,18
Full operator (SE(3)),moka_pot_on_stove,15,2.2362358216328598e-10,7.351693041486355e-11,18
Pdiag pointwise (SE(3)),moka_pot_on_stove,15,6.126153111463551e-32,5.729340107503838e-32,18
Pdiag finite (SE(3)),moka_pot_on_stove,15,0.0005024468251857998,0.0002827140971109316,18
Frame-weighted (SE(3)),moka_pot_on_stove,30,0.14758844080651962,0.0006396519257591732,18
Phase scalar GP (SE(3)),moka_pot_on_stove,30,0.14759159200750122,0.0006395707586193966,18
TP-GMM additive (SE(3)),moka_pot_on_stove,30,0.003962678418700577,0.0019188973930303382,18
TP-GMM SE(3),moka_pot_on_stove,30,0.007796855695929198,0.0027662044440096723,18
Full operator (SE(3)),moka_pot_on_stove,30,2.990043588136831e-11,9.502255442668339e-12,18
Pdiag pointwise (SE(3)),moka_pot_on_stove,30,4.0372279710190424e-32,9.730712321262398e-33,18
Pdiag finite (SE(3)),moka_pot_on_stove,30,0.0003859655923812934,3.989053578277276e-05,18
