seed,model,response_error_mean_mm_equiv,response_error_ci_low,response_error_ci_high,response_endpoint_error_mean_mm_equiv,response_endpoint_error_ci_low,response_endpoint_error_ci_high,task_error_mean_mm_equiv,task_error_ci_low,task_error_ci_high,task_endpoint_error_mean_mm_equiv,task_endpoint_error_ci_low,task_endpoint_error_ci_high,generator_rmse,translation_profile_rmse,yaw_profile_rmse,g_translation_final,g_yaw_preclear,g_yaw_final,crossing_detected,switch_status,switch_s_0_5,switch_absolute_error,switch_penalized_absolute_error
20290818,Pdiag pointwise,3.722750607639499,3.091846435601809,4.3973605953072745,0.1925014892793348,0.1195877319265217,0.25505455805703225,3.698469160096802,3.063743782433285,4.367938548249213,0.19203777396954738,0.11896304817608974,0.25471755219955733,0.3130669563481667,0.31719307943031644,0.15394102249016578,0.999031028610904,1.0002651097588269,0.0001266526042558063,True,detected,0.6044235513301588,0.0004755421551771999,0.0004755421551771999
20290818,Pdiag finite,2.574164281362119,2.161474299732635,3.1140174599244865,0.44408780853396634,0.3611649458879616,0.5213296149210058,2.5221532213267572,2.1252021649508643,3.0636083059649235,0.36439358348270084,0.24990056426083979,0.47324257667265246,0.2535346188448668,0.24604932203522592,0.13469256858565393,0.9821053288654366,0.9959093633230536,0.025055346750483116,True,detected,0.6064595096895647,0.001560416204228754,0.001560416204228754
20300818,Frame-weighted,4.291865949287278,3.561978695966773,5.129005637076597,6.62065930158462,5.498170822775588,7.790259201093843,3.002682368643312,2.4346681813425333,3.503955782483512,3.4247435945121603,1.1580878658601301,5.704288762532394,0.2957463030463546,0.265276229383392,0.3483772772438238,0.5656530583817962,0.997613816899683,0.5656530583817962,False,right_censored,,,0.39664445817682337
20300818,Phase scalar GP,4.291614426565438,3.561732899465853,5.128834412327102,6.620572309707722,5.498166723324376,7.790474954798546,3.002412956836303,2.4344224796458613,3.503445082445467,3.424306787866139,1.1579758070736148,5.703530936616892,0.2957433336394609,0.26527208533850005,0.34837602588535427,0.5657107944261481,0.9972104936391726,0.5657107944261481,False,right_censored,,,0.39664445817682337
20300818,TP-GMM additive,2.2618193392012094,1.822658974705907,2.7312976986565363,0.32849444574181674,0.21220386979287406,0.45530353993911143,2.1044483099832734,1.71181352202571,2.517437024419901,0.3264093049497777,0.21089932929880642,0.45139850018293376,0.092333549447289,0.09489647417258129,0.07530918246485009,0.9973948399365093,0.9603584244734544,0.0017499246414576888,True,detected,0.62064462475647,0.017289082933293343,0.017289082933293343
20300818,TP-GMM SE(2),2.334482736886855,1.9885636948896515,2.6545166024486826,0.3377834793323933,0.21395241773735268,0.48119831924473855,2.1845157643601105,1.8611482819673513,2.4922885842223574,0.3356366836622788,0.21255534469208598,0.47714462709853955,0.08346354191159905,0.08663440765815078,0.0676985610453496,0.9974218873646092,0.9577692031668686,0.0018642969580472837,True,detected,0.6007062730616753,0.002649268761501289,0.002649268761501289
20300818,Generic RBF,1.5970172091131116,1.3136777661596906,1.8722272690895845,0.43691980484802173,0.3284834263160313,0.5673043017225363,1.570075309612868,1.2912476664900707,1.8481188026476185,0.4355615209704857,0.32802832750024186,0.5640125858998818,0.05565264066629893,0.03553998710009257,0.00752155288758357,0.9902187969340366,0.9941888476494707,0.0014631293050188707,True,detected,0.6045489735440313,0.0011934317208546208,0.0011934317208546208
20300818,Full operator,1.5454286754980302,1.2654744311063257,1.8134222854976132,0.2930893220805264,0.1724427165815426,0.45220650039643506,1.5167867385302718,1.2410570074287104,1.7920644372129046,0.2912191592418113,0.17123606811589442,0.4482928276301319,0.056961811282957145,0.03693572196875132,0.006897158143810981,0.9955025972316489,1.0003473234073355,0.0014331478158614189,True,detected,0.604641859609869,0.0012863177866924147,0.0012863177866924147
20300818,Pdiag pointwise,1.8537341516438701,1.4391577944293106,2.3101231903751303,0.31652015370331443,0.18460998289476344,0.4795612209349577,1.8260298940704853,1.43696907163458,2.252211709177981,0.3146782650880605,0.18286141908429573,0.47581073721370815,0.02202459273035842,0.015267256896339971,0.00730038796710717,0.9958008463328972,1.00040853601116,0.0014770206924333421,True,detected,0.6047146187859134,0.0013590769627367383,0.0013590769627367383
20300818,Pdiag finite,1.6887041433833994,1.4000375430565504,2.0031818992233688,0.4846708434683053,0.3586098362283572,0.6208828342502134,1.6195459323311143,1.3742808982880121,1.8819875724775625,0.38688692801579505,0.23213332727223063,0.5377011518071498,0.06235705607731944,0.02910803314223487,0.06977150491108802,0.9796955523963817,0.9998537364295997,0.028265768194647545,True,detected,0.6064182345863796,0.0030626927632029233,0.0030626927632029233
