task,seed,subset_id,protocol,sample_size,repeat,basis,model,fit_success,fit_error,fit_seconds,e_data,e_alpha,off_diag_mass
keyed,20260818,15,qualified,30,0,rotated-2,Pdiag pointwise (SE(3)),True,,0.010562247000052594,7.996579703953515e-05,0.3272671352406447,
keyed,20260818,15,qualified,30,0,rotated-2,Pdiag finite (SE(3)),True,,283.896743573001,3.772032257044885e-05,0.1775232270045868,
keyed,20260818,12,random,30,0,rotated-2,Frame-weighted (SE(3)),True,,0.008498519993736409,8.77191369819159e-05,0.17221420505597282,
keyed,20260818,12,random,30,0,rotated-2,Full operator (SE(3)),True,,0.002146031998563558,2.3901845170759015e-05,0.12153399278468822,0.91610552323489
keyed,20260818,12,random,30,0,rotated-2,Pdiag pointwise (SE(3)),True,,0.02125679400342051,8.448075014088969e-05,0.18183316214344622,
keyed,20260818,12,random,30,0,rotated-2,Pdiag finite (SE(3)),True,,770.1329027369939,5.51114702244733e-05,0.19728145511042827,
keyed,20260818,17,qualified,30,2,rotated-1,Frame-weighted (SE(3)),True,,0.009023488004459068,9.859504147138113e-05,0.20189303925988364,
keyed,20260818,17,qualified,30,2,rotated-1,Full operator (SE(3)),True,,0.0017969959881156683,1.3167382663562495e-05,0.1583588378050833,0.9325611258134774
keyed,20260818,17,qualified,30,2,rotated-1,Pdiag pointwise (SE(3)),True,,0.023453698013327084,9.44071120908006e-05,0.21967468350676558,
keyed,20260818,17,qualified,30,2,rotated-1,Pdiag finite (SE(3)),True,,106.89938316500047,6.306256922835456e-05,0.20693552599640122,
keyed,20260818,9,qualified,15,0,rotated-2,Frame-weighted (SE(3)),True,,0.003968920005718246,0.00012013098580579713,0.20322452340183053,
keyed,20260818,9,qualified,15,0,rotated-2,Full operator (SE(3)),True,,0.0009783830028027296,3.703378487813489e-05,0.19460454630048438,0.9147712025642678
keyed,20260818,9,qualified,15,0,rotated-2,Pdiag pointwise (SE(3)),True,,0.011618024000199512,0.00011651833729653493,0.21554198806086244,
keyed,20260818,9,qualified,15,0,rotated-2,Pdiag finite (SE(3)),True,,1133.7271910150012,8.823622798454395e-05,0.2321093497231703,
keyed,20260818,17,qualified,30,2,local,Frame-weighted (SE(3)),True,,0.0048601930029690266,8.423992530265178e-05,0.1512226084197072,
keyed,20260818,17,qualified,30,2,local,Full operator (SE(3)),True,,0.0012804729922208935,1.2087906357022246e-05,0.09779267888465935,0.8826669203890812
keyed,20260818,17,qualified,30,2,local,Pdiag pointwise (SE(3)),True,,0.01146829999925103,7.977666671902702e-05,0.10058174989954848,
keyed,20260818,17,qualified,30,2,local,Pdiag finite (SE(3)),True,,165.65236343999277,1.6040511705219676e-05,0.10422328041653066,
keyed,20270818,0,random,8,0,rotated-2,Frame-weighted (SE(3)),True,,0.007081773001118563,4.292832288917076e-05,0.4187331702599344,
keyed,20270818,0,random,8,0,rotated-2,Full operator (SE(3)),True,,0.0013348180073080584,5.220302391990898e-07,0.0876077979028,0.90642215161794
keyed,20270818,0,random,8,0,rotated-2,Pdiag pointwise (SE(3)),True,,0.018573781999293715,3.77216332493425e-05,0.45553984429223665,
keyed,20270818,0,random,8,0,rotated-2,Pdiag finite (SE(3)),True,,125.45930840598885,2.512433714804725e-05,0.24216589192538288,
keyed,20260818,17,qualified,30,2,rotated-2,Frame-weighted (SE(3)),True,,0.007495865007513203,8.97767692562333e-05,0.1404222861577784,
keyed,20260818,17,qualified,30,2,rotated-2,Full operator (SE(3)),True,,0.0021162169869057834,1.2722401227727923e-05,0.12172909853525961,0.9178919738031573
keyed,20260818,17,qualified,30,2,rotated-2,Pdiag pointwise (SE(3)),True,,0.018380299996351823,8.333824859339433e-05,0.19221852450611193,
keyed,20260818,17,qualified,30,2,rotated-2,Pdiag finite (SE(3)),True,,257.6065911850019,5.053135275776981e-05,0.20167839154557304,
keyed,20270818,1,random,8,1,rotated-2,Frame-weighted (SE(3)),True,,0.007104355987394229,9.063691860607737e-05,0.19144788717317682,
keyed,20270818,1,random,8,1,rotated-2,Full operator (SE(3)),True,,0.001326286990661174,8.237303132123433e-06,0.17300749158941028,0.9256242544438827
keyed,20270818,1,random,8,1,rotated-2,Pdiag pointwise (SE(3)),True,,0.01809056800266262,8.416081856659807e-05,0.31186897854697165,
keyed,20270818,1,random,8,1,rotated-2,Pdiag finite (SE(3)),True,,140.02747770000133,6.311881622823894e-05,0.15949955471750166,
keyed,20270818,3,qualified,8,0,local,Frame-weighted (SE(3)),True,,0.0038883030065335333,7.198161924135427e-05,0.15858964348599694,
keyed,20270818,3,qualified,8,0,local,Full operator (SE(3)),True,,0.0008847299905028194,8.948515419716705e-08,0.11728201135446616,0.8899197456862524
