model,task_key,sample_size,mean,std,count
Pdiag finite (SE(3)),wine_bottle_on_cabinet,30,4.711892507399178e-05,4.4187319611226435e-06,18
Frame-weighted (SE(3)),moka_pot_on_stove,8,0.14886214366984332,0.0012035444707466426,18
Phase scalar GP (SE(3)),moka_pot_on_stove,8,0.14886526866521452,0.001203453911680388,18
TP-GMM additive (SE(3)),moka_pot_on_stove,8,0.009416125321410037,0.005773180620404437,18
TP-GMM SE(3),moka_pot_on_stove,8,0.008223434327252914,0.004056888586535036,18
Full operator (SE(3)),moka_pot_on_stove,8,0.005045228569336406,0.006035422747647574,18
Pdiag pointwise (SE(3)),moka_pot_on_stove,8,0.0008444901226282792,0.0006140641987687999,18
Pdiag finite (SE(3)),moka_pot_on_stove,8,0.00032335621565548274,0.0003137854188910142,18
Frame-weighted (SE(3)),moka_pot_on_stove,15,0.14960830496450284,0.0028511991544601318,18
Phase scalar GP (SE(3)),moka_pot_on_stove,15,0.14961129670831558,0.002850914575784489,18
TP-GMM additive (SE(3)),moka_pot_on_stove,15,0.00209722513754868,0.0008277343459517414,18
TP-GMM SE(3),moka_pot_on_stove,15,0.0017802276475548835,0.00042585025826896933,18
Full operator (SE(3)),moka_pot_on_stove,15,0.0003928784873741908,0.0002088191094570373,18
Pdiag pointwise (SE(3)),moka_pot_on_stove,15,0.00028922208904386885,0.0003062808906471832,18
Pdiag finite (SE(3)),moka_pot_on_stove,15,5.1166901790425995e-05,8.0068232443524e-06,18
Frame-weighted (SE(3)),moka_pot_on_stove,30,0.14735748174686789,0.00056633036763197,18
Phase scalar GP (SE(3)),moka_pot_on_stove,30,0.14736066201452344,0.0005662526144756232,18
TP-GMM additive (SE(3)),moka_pot_on_stove,30,0.004866383751980299,0.0022937173656691805,18
TP-GMM SE(3),moka_pot_on_stove,30,0.005359360767260023,0.0017830278280152293,18
Full operator (SE(3)),moka_pot_on_stove,30,0.0002575754450943222,0.00012748138187159005,18
Pdiag pointwise (SE(3)),moka_pot_on_stove,30,0.0002864510740634362,6.15192842239572e-05,18
Pdiag finite (SE(3)),moka_pot_on_stove,30,4.711647323224231e-05,4.41764952906341e-06,18
