model,task_key,sample_size,alpha_active_du,alpha_active_dv,alpha_active_dw,alpha_active_roll,alpha_active_pitch,alpha_active_yaw
TP-GMM SE(3),bowl_on_stove,30,0.922656334419886,0.9276926817384779,0.9427980791902253,0.006433993732905874,0.006657452250958225,0.0015742969704780248
Full operator (SE(3)),bowl_on_stove,30,0.9799590281262012,0.977125110820195,1.0314193067606237,0.0,0.0,0.0
Pdiag pointwise (SE(3)),bowl_on_stove,30,0.967178986741001,0.9781328458987237,1.0317638339746666,0.0,0.0,0.0
Pdiag finite (SE(3)),bowl_on_stove,30,1.0060832723265654,1.0111814912015857,1.008568674881298,0.002913058684323329,0.0006246534140492228,0.0005313007208647163
Frame-weighted (SE(3)),bowl_on_plate,8,0.5407544389092319,0.5407544389092319,0.5407544389092319,0.5407544389092319,0.5407544389092319,0.5407544389092319
Phase scalar GP (SE(3)),bowl_on_plate,8,0.5448664747998365,0.5448664747998365,0.5448664747998365,0.5448664747998365,0.5448664747998365,0.5448664747998365
TP-GMM additive (SE(3)),bowl_on_plate,8,0.9551988681457542,0.9752210988440834,0.9767460746633374,0.01584398124307329,0.019531328674565234,0.00636643289531406
TP-GMM SE(3),bowl_on_plate,8,0.9493485668576768,0.975915593587201,0.9779707688754914,0.02438571829347384,0.024863635093401875,0.009331338387742397
Full operator (SE(3)),bowl_on_plate,8,0.9361464895038836,0.9222126776079382,0.9526642102052638,0.0,0.0,0.0
Pdiag pointwise (SE(3)),bowl_on_plate,8,0.9790248408200826,1.023701549793377,0.9918217978351299,0.0,0.0,0.0
Pdiag finite (SE(3)),bowl_on_plate,8,1.000550744507826,1.0294577962068197,1.003040530743064,0.0023649656751890628,0.002472151068545861,0.0032216326526506908
Frame-weighted (SE(3)),bowl_on_plate,15,0.5640891441513168,0.5640891441513168,0.5640891441513168,0.5640891441513168,0.5640891441513168,0.5640891441513168
Phase scalar GP (SE(3)),bowl_on_plate,15,0.568378623056169,0.568378623056169,0.568378623056169,0.568378623056169,0.568378623056169,0.568378623056169
TP-GMM additive (SE(3)),bowl_on_plate,15,0.9612354296060938,0.9609657719584676,0.9720975728292301,0.00952813645438518,0.011819344073725388,0.0023593272318900294
TP-GMM SE(3),bowl_on_plate,15,0.9709245050110865,0.9595990800218898,0.9737567929632776,0.009186491042570003,0.00973855656589088,0.0021939446704445733
Full operator (SE(3)),bowl_on_plate,15,1.0231256330045668,0.9547962197970808,1.0160495539610188,0.0,0.0,0.0
Pdiag pointwise (SE(3)),bowl_on_plate,15,0.9934527661378377,0.9738854145921491,1.0163536946572576,0.0,0.0,0.0
Pdiag finite (SE(3)),bowl_on_plate,15,1.0119840618219957,1.0077305713129165,1.0101171396409658,0.0026524931765304106,0.0011198571852604686,0.001054424609413109
Frame-weighted (SE(3)),bowl_on_plate,30,0.5413811268661175,0.5413811268661175,0.5413811268661175,0.5413811268661175,0.5413811268661175,0.5413811268661175
Phase scalar GP (SE(3)),bowl_on_plate,30,0.5454979281730391,0.5454979281730391,0.5454979281730391,0.5454979281730391,0.5454979281730391,0.5454979281730391
TP-GMM additive (SE(3)),bowl_on_plate,30,0.9210321599224687,0.9300815000930941,0.9512397112898299,0.0069358471101141905,0.006527785747144558,0.0015119622907901291
TP-GMM SE(3),bowl_on_plate,30,0.9226563344199439,0.9276926817384806,0.94279807919026,0.006433993732892995,0.00665745225096163,0.0015742969704763226
Full operator (SE(3)),bowl_on_plate,30,0.9799590281262012,0.9771251108201948,1.0314193067606237,0.0,0.0,0.0
Pdiag pointwise (SE(3)),bowl_on_plate,30,0.967178986741001,0.9781328458987237,1.0317638339746666,0.0,0.0,0.0
Pdiag finite (SE(3)),bowl_on_plate,30,1.006084599333465,1.0111814323400212,1.0085674384419736,0.002868075781548498,0.0006394819293257364,0.0005476217524194321
Frame-weighted (SE(3)),cream_cheese_in_bowl,8,0.5407544389092319,0.5407544389092319,0.5407544389092319,0.5407544389092319,0.5407544389092319,0.5407544389092319
Phase scalar GP (SE(3)),cream_cheese_in_bowl,8,0.5448664747197516,0.5448664747197516,0.5448664747197516,0.5448664747197516,0.5448664747197516,0.5448664747197516
TP-GMM additive (SE(3)),cream_cheese_in_bowl,8,0.955198868146182,0.975221098844173,0.976746074663216,0.01584398124309046,0.019531328674560273,0.006366432895319314
TP-GMM SE(3),cream_cheese_in_bowl,8,0.9493485668575727,0.9759155935871751,0.9779707688754916,0.024385718293435128,0.024863635093376413,0.009331338387719676
Full operator (SE(3)),cream_cheese_in_bowl,8,0.9361464895038836,0.9222126776080191,0.9526642102052616,0.0,0.0,0.0
Pdiag pointwise (SE(3)),cream_cheese_in_bowl,8,0.9790248408200826,1.0237015497933772,0.9918217978351298,0.0,0.0,0.0
Pdiag finite (SE(3)),cream_cheese_in_bowl,8,1.000551053625164,1.0294577563361953,1.0030400737264218,0.002410314927832755,0.002352617655641524,0.003184745227848813
Frame-weighted (SE(3)),cream_cheese_in_bowl,15,0.5640891441513168,0.5640891441513168,0.5640891441513168,0.5640891441513168,0.5640891441513168,0.5640891441513168
Phase scalar GP (SE(3)),cream_cheese_in_bowl,15,0.5683786230510115,0.5683786230510115,0.5683786230510115,0.5683786230510115,0.5683786230510115,0.5683786230510115
TP-GMM additive (SE(3)),cream_cheese_in_bowl,15,0.9612354296060128,0.9609657719584388,0.9720975728291954,0.009528136454384587,0.011819344073727311,0.0023593272318901772
TP-GMM SE(3),cream_cheese_in_bowl,15,0.9709245050110982,0.9595990800218696,0.9737567929632776,0.0091864910425666,0.009738556565897097,0.002193944670443241
Full operator (SE(3)),cream_cheese_in_bowl,15,1.0231256330045668,0.9547962197970808,1.0160495539610188,0.0,0.0,0.0
Pdiag pointwise (SE(3)),cream_cheese_in_bowl,15,0.9934527661378377,0.9738854145921488,1.0163536946572578,0.0,0.0,0.0
Pdiag finite (SE(3)),cream_cheese_in_bowl,15,1.011987087470113,1.0077294374442012,1.010115938520185,0.0026494925470419367,0.0011030448011801128,0.0010479861909954225
Frame-weighted (SE(3)),cream_cheese_in_bowl,30,0.5413811268661175,0.5413811268661175,0.5413811268661175,0.5413811268661175,0.5413811268661175,0.5413811268661175
Phase scalar GP (SE(3)),cream_cheese_in_bowl,30,0.5454979281730009,0.5454979281730009,0.5454979281730009,0.5454979281730009,0.5454979281730009,0.5454979281730009
TP-GMM additive (SE(3)),cream_cheese_in_bowl,30,0.9210321599225613,0.9300815000931172,0.9512397112898066,0.00693584711011382,0.0065277857471450025,0.0015119622907901291
