dataset,episode,variant,event,frame,time_s
insert_jc_fix_3,8,loose,terminal_settle_candidate,505.0,16.83333396911621
insert_jc_fix_3,8,loose,release,543.0,18.100000381469727
insert_jc_fix_3,8,own_terminal_offline,grasp,235.0,7.833333492279053
insert_jc_fix_3,8,own_terminal_offline,lift_clearance,288.0,9.600000381469727
insert_jc_fix_3,8,own_terminal_offline,assembly_region,355.0,11.833333015441895
insert_jc_fix_3,8,own_terminal_offline,axial_advance_candidate,376.0,12.533333778381348
insert_jc_fix_3,8,own_terminal_offline,terminal_settle_candidate,505.0,16.83333396911621
insert_jc_fix_3,8,own_terminal_offline,release,543.0,18.100000381469727
insert_jc_fix_3,9,strict,grasp,256.0,8.533333778381348
insert_jc_fix_3,9,strict,lift_clearance,304.0,10.133333206176758
insert_jc_fix_3,9,strict,assembly_region,341.0,11.366666793823242
insert_jc_fix_3,9,strict,axial_advance_candidate,,
insert_jc_fix_3,9,strict,terminal_settle_candidate,,
insert_jc_fix_3,9,strict,release,490.0,16.33333396911621
insert_jc_fix_3,9,main,grasp,256.0,8.533333778381348
insert_jc_fix_3,9,main,lift_clearance,304.0,10.133333206176758
insert_jc_fix_3,9,main,assembly_region,341.0,11.366666793823242
insert_jc_fix_3,9,main,axial_advance_candidate,438.0,14.600000381469727
insert_jc_fix_3,9,main,terminal_settle_candidate,464.0,15.466666221618652
insert_jc_fix_3,9,main,release,490.0,16.33333396911621
insert_jc_fix_3,9,loose,grasp,256.0,8.533333778381348
insert_jc_fix_3,9,loose,lift_clearance,304.0,10.133333206176758
insert_jc_fix_3,9,loose,assembly_region,341.0,11.366666793823242
insert_jc_fix_3,9,loose,axial_advance_candidate,428.0,14.266666412353516
insert_jc_fix_3,9,loose,terminal_settle_candidate,464.0,15.466666221618652
insert_jc_fix_3,9,loose,release,490.0,16.33333396911621
insert_jc_fix_3,9,own_terminal_offline,grasp,256.0,8.533333778381348
insert_jc_fix_3,9,own_terminal_offline,lift_clearance,304.0,10.133333206176758
insert_jc_fix_3,9,own_terminal_offline,assembly_region,341.0,11.366666793823242
insert_jc_fix_3,9,own_terminal_offline,axial_advance_candidate,428.0,14.266666412353516
insert_jc_fix_3,9,own_terminal_offline,terminal_settle_candidate,464.0,15.466666221618652
insert_jc_fix_3,9,own_terminal_offline,release,490.0,16.33333396911621
insert_jc_fix_3,10,strict,grasp,170.0,5.666666507720947
insert_jc_fix_3,10,strict,lift_clearance,218.0,7.266666889190674
insert_jc_fix_3,10,strict,assembly_region,261.0,8.699999809265137
insert_jc_fix_3,10,strict,axial_advance_candidate,,
insert_jc_fix_3,10,strict,terminal_settle_candidate,,
insert_jc_fix_3,10,strict,release,498.0,16.600000381469727
insert_jc_fix_3,10,main,grasp,170.0,5.666666507720947
insert_jc_fix_3,10,main,lift_clearance,218.0,7.266666889190674
insert_jc_fix_3,10,main,assembly_region,261.0,8.699999809265137
insert_jc_fix_3,10,main,axial_advance_candidate,,
insert_jc_fix_3,10,main,terminal_settle_candidate,408.0,13.600000381469727
insert_jc_fix_3,10,main,release,498.0,16.600000381469727
insert_jc_fix_3,10,loose,grasp,170.0,5.666666507720947
insert_jc_fix_3,10,loose,lift_clearance,218.0,7.266666889190674
insert_jc_fix_3,10,loose,assembly_region,261.0,8.699999809265137
insert_jc_fix_3,10,loose,axial_advance_candidate,293.0,9.766666412353516
insert_jc_fix_3,10,loose,terminal_settle_candidate,401.0,13.366666793823242
insert_jc_fix_3,10,loose,release,498.0,16.600000381469727
insert_jc_fix_3,10,own_terminal_offline,grasp,170.0,5.666666507720947
insert_jc_fix_3,10,own_terminal_offline,lift_clearance,218.0,7.266666889190674
insert_jc_fix_3,10,own_terminal_offline,assembly_region,261.0,8.699999809265137
insert_jc_fix_3,10,own_terminal_offline,axial_advance_candidate,293.0,9.766666412353516
insert_jc_fix_3,10,own_terminal_offline,terminal_settle_candidate,401.0,13.366666793823242
insert_jc_fix_3,10,own_terminal_offline,release,498.0,16.600000381469727
insert_jc_fix_3,11,strict,grasp,138.0,4.599999904632568
insert_jc_fix_3,11,strict,lift_clearance,189.0,6.300000190734863
insert_jc_fix_3,11,strict,assembly_region,225.0,7.5
insert_jc_fix_3,11,strict,axial_advance_candidate,382.0,12.733333587646484
insert_jc_fix_3,11,strict,terminal_settle_candidate,405.0,13.5
insert_jc_fix_3,11,strict,release,445.0,14.833333015441895
insert_jc_fix_3,11,main,grasp,138.0,4.599999904632568
insert_jc_fix_3,11,main,lift_clearance,189.0,6.300000190734863
insert_jc_fix_3,11,main,assembly_region,225.0,7.5
insert_jc_fix_3,11,main,axial_advance_candidate,261.0,8.699999809265137
insert_jc_fix_3,11,main,terminal_settle_candidate,405.0,13.5
insert_jc_fix_3,11,main,release,445.0,14.833333015441895
insert_jc_fix_3,11,loose,grasp,138.0,4.599999904632568
insert_jc_fix_3,11,loose,lift_clearance,189.0,6.300000190734863
insert_jc_fix_3,11,loose,assembly_region,225.0,7.5
insert_jc_fix_3,11,loose,axial_advance_candidate,261.0,8.699999809265137
insert_jc_fix_3,11,loose,terminal_settle_candidate,405.0,13.5
insert_jc_fix_3,11,loose,release,445.0,14.833333015441895
insert_jc_fix_3,11,own_terminal_offline,grasp,138.0,4.599999904632568
