model,sample_size,seed,fit_task,eval_task,cross_task_error,in_task_error,mismatch_gap
Pdiag finite,5,20270818,circular_honest,keyed,4.918220550300552,2.5422114126152584,2.376009137685293
Pdiag finite,5,20270818,circular_honest,circular_placebo,11.081596906424144,2.5422114126152584,8.539385493808886
Frame-weighted,10,20270818,circular_honest,keyed,6.25072606880576,5.053751934965614,1.196974133840146
Frame-weighted,10,20270818,circular_honest,circular_placebo,13.92122655862093,5.053751934965614,8.867474623655315
Phase scalar GP,10,20270818,circular_honest,keyed,6.250763943183845,5.053856647725169,1.1969072954586757
Phase scalar GP,10,20270818,circular_honest,circular_placebo,13.921213620507771,5.053856647725169,8.867356972782602
TP-GMM additive,10,20270818,circular_honest,keyed,6.6614768025486955,4.547280189146926,2.114196613401769
TP-GMM additive,10,20270818,circular_honest,circular_placebo,8.65137657153225,4.547280189146926,4.104096382385324
TP-GMM SE(2),10,20270818,circular_honest,keyed,6.741997120803755,4.3475845696567825,2.3944125511469725
TP-GMM SE(2),10,20270818,circular_honest,circular_placebo,8.570145338733552,4.3475845696567825,4.222560769076769
Generic RBF,10,20270818,circular_honest,keyed,8.904706189417972,3.745005192735513,5.159700996682459
Generic RBF,10,20270818,circular_honest,circular_placebo,14.98578010728562,3.745005192735513,11.240774914550109
Full operator,10,20270818,circular_honest,keyed,4.810491940511898,2.0976706238492806,2.712821316662618
Full operator,10,20270818,circular_honest,circular_placebo,10.62248196078002,2.0976706238492806,8.524811336930739
Pdiag pointwise,10,20270818,circular_honest,keyed,4.62720190799104,1.9935910849635026,2.6336108230275377
Pdiag pointwise,10,20270818,circular_honest,circular_placebo,10.446196317135465,1.9935910849635026,8.452605232171962
Pdiag finite,10,20270818,circular_honest,keyed,4.569832690917846,2.117228573453703,2.4526041174641433
Pdiag finite,10,20270818,circular_honest,circular_placebo,10.67422431013682,2.117228573453703,8.556995736683117
Frame-weighted,20,20270818,circular_honest,keyed,6.085410240350174,4.855944301960801,1.2294659383893727
Frame-weighted,20,20270818,circular_honest,circular_placebo,13.898405108419157,4.855944301960801,9.042460806458354
Phase scalar GP,20,20270818,circular_honest,keyed,6.085483200033063,4.856038064994422,1.2294451350386408
Phase scalar GP,20,20270818,circular_honest,circular_placebo,13.898393263385438,4.856038064994422,9.042355198391016
TP-GMM additive,20,20270818,circular_honest,keyed,6.237072560176436,3.690371143706049,2.546701416470387
TP-GMM additive,20,20270818,circular_honest,circular_placebo,8.880638913269971,3.690371143706049,5.190267769563922
TP-GMM SE(2),20,20270818,circular_honest,keyed,6.033323812688162,3.145075542735137,2.888248269953025
TP-GMM SE(2),20,20270818,circular_honest,circular_placebo,8.971497996867614,3.145075542735137,5.8264224541324765
Generic RBF,20,20270818,circular_honest,keyed,5.429184640868162,2.1762215812862937,3.2529630595818686
Generic RBF,20,20270818,circular_honest,circular_placebo,11.595842797653495,2.1762215812862937,9.4196212163672
Full operator,20,20270818,circular_honest,keyed,4.440668633639466,1.7510466706141112,2.6896219630253544
Full operator,20,20270818,circular_honest,circular_placebo,10.529065715365478,1.7510466706141112,8.778019044751368
Pdiag pointwise,20,20270818,circular_honest,keyed,4.511833112006033,1.8947589462182133,2.6170741657878196
Pdiag pointwise,20,20270818,circular_honest,circular_placebo,10.515517036791357,1.8947589462182133,8.620758090573144
Pdiag finite,20,20270818,circular_honest,keyed,4.377770901953851,1.8681346223996007,2.5096362795542504
Pdiag finite,20,20270818,circular_honest,circular_placebo,10.588480891268018,1.8681346223996007,8.720346268868418
Frame-weighted,5,20280818,circular_honest,keyed,6.026737978299903,5.2759552471011455,0.7507827311987576
Frame-weighted,5,20280818,circular_honest,circular_placebo,14.248868289490256,5.2759552471011455,8.97291304238911
Phase scalar GP,5,20280818,circular_honest,keyed,6.02677731813601,5.275996572918843,0.7507807452171669
Phase scalar GP,5,20280818,circular_honest,circular_placebo,14.248819856926234,5.275996572918843,8.97282328400739
TP-GMM additive,5,20280818,circular_honest,keyed,7.379235048097894,5.4836133558923486,1.8956216922055455
TP-GMM additive,5,20280818,circular_honest,circular_placebo,9.966622398012175,5.4836133558923486,4.483009042119827
TP-GMM SE(2),5,20280818,circular_honest,keyed,8.812996130714684,5.594837601350649,3.2181585293640342
TP-GMM SE(2),5,20280818,circular_honest,circular_placebo,11.102044663874574,5.594837601350649,5.507207062523925
Generic RBF,5,20280818,circular_honest,keyed,18.84713600392421,9.23395985441551,9.6131761495087
Generic RBF,5,20280818,circular_honest,circular_placebo,25.029621220743852,9.23395985441551,15.795661366328343
Full operator,5,20280818,circular_honest,keyed,6.741984278749761,4.439246922677712,2.3027373560720488
Full operator,5,20280818,circular_honest,circular_placebo,12.227821151087058,4.439246922677712,7.788574228409346
Pdiag pointwise,5,20280818,circular_honest,keyed,4.742697493839562,2.3772137639616546,2.3654837298779072
Pdiag pointwise,5,20280818,circular_honest,circular_placebo,10.909107305182971,2.3772137639616546,8.531893541221317
Pdiag finite,5,20280818,circular_honest,keyed,4.829386844908805,2.668521930707558,2.160864914201247
Pdiag finite,5,20280818,circular_honest,circular_placebo,11.363854984612564,2.668521930707558,8.695333053905006
Frame-weighted,10,20280818,circular_honest,keyed,6.08348529966531,5.205089023366244,0.8783962762990658
Frame-weighted,10,20280818,circular_honest,circular_placebo,14.21234583975405,5.205089023366244,9.007256816387805
Phase scalar GP,10,20280818,circular_honest,keyed,6.083514140468986,5.205077891171544,0.878436249297442
Phase scalar GP,10,20280818,circular_honest,circular_placebo,14.212481787539792,5.205077891171544,9.007403896368249
TP-GMM additive,10,20280818,circular_honest,keyed,7.202537141955035,5.087848336011381,2.114688805943654
TP-GMM additive,10,20280818,circular_honest,circular_placebo,9.456237868299498,5.087848336011381,4.368389532288117
TP-GMM SE(2),10,20280818,circular_honest,keyed,6.895969727162208,4.207926690323504,2.688043036838704
TP-GMM SE(2),10,20280818,circular_honest,circular_placebo,9.389838217409691,4.207926690323504,5.1819115270861875
Generic RBF,10,20280818,circular_honest,keyed,12.03365710344638,5.187941692872498,6.845715410573882
Generic RBF,10,20280818,circular_honest,circular_placebo,18.386194797628097,5.187941692872498,13.198253104755597
Full operator,10,20280818,circular_honest,keyed,4.916869440901362,2.4733606216108104,2.4435088192905514
Full operator,10,20280818,circular_honest,circular_placebo,11.176723204360998,2.4733606216108104,8.703362582750188
Pdiag pointwise,10,20280818,circular_honest,keyed,4.44870197755703,2.1590903827141408,2.289611594842889
Pdiag pointwise,10,20280818,circular_honest,circular_placebo,10.645184614832429,2.1590903827141408,8.486094232118289
Pdiag finite,10,20280818,circular_honest,keyed,4.55825258428607,2.298797168241562,2.2594554160445077
Pdiag finite,10,20280818,circular_honest,circular_placebo,10.953625049751013,2.298797168241562,8.654827881509451
Frame-weighted,20,20280818,circular_honest,keyed,5.787461466912137,4.891607324766944,0.8958541421451933
Frame-weighted,20,20280818,circular_honest,circular_placebo,14.13579183455692,4.891607324766944,9.244184509789978
Phase scalar GP,20,20280818,circular_honest,keyed,5.787516578534372,4.891675835830214,0.8958407427041575
Phase scalar GP,20,20280818,circular_honest,circular_placebo,14.135868647627362,4.891675835830214,9.244192811797149
