task,seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,alpha_pre,alpha_post,e_alpha,switch_detected,switch_status,switch_location
keyed,20280818,15,qualified,20,0,Pdiag pointwise,True,,0.007900910917669535,0.8167000981628522,0.21210071923298648,0.15522589994752303,True,detected,0.6034712452182949
keyed,20280818,15,qualified,20,0,Pdiag finite,True,,2.7493864549323916,0.7578346618722928,0.23808688077615053,0.18188165655007935,True,detected,0.6051808059131711
keyed,20280818,16,qualified,20,1,Frame-weighted,True,,0.006305318791419268,0.7323594873259416,0.6626924269311228,0.3416070240656916,False,right_censored,
keyed,20280818,16,qualified,20,1,Phase scalar GP,True,,0.23281514877453446,0.7323581916274313,0.6626946731409562,0.341602850532196,False,right_censored,
keyed,20280818,16,qualified,20,1,TP-GMM additive,True,,40.22618915978819,0.8039287087884139,0.2645585429049364,0.1365583959993233,True,detected,0.6029734590591216
keyed,20280818,16,qualified,20,1,TP-GMM SE(2),True,,39.40427958313376,0.814606955813426,0.2710900411475372,0.1457024339165165,True,detected,0.6068226918424927
keyed,20280818,16,qualified,20,1,Generic RBF,True,,0.5856134728528559,0.8205566305220309,0.2473126318852178,0.1562300643925478,True,detected,0.6056370778482213
keyed,20280818,16,qualified,20,1,Full operator,True,,0.002047488000243902,0.8205512563991297,0.24731098747396962,0.1562312302480996,True,detected,0.6058984664562723
keyed,20280818,16,qualified,20,1,Pdiag pointwise,True,,0.007672000210732222,0.8209448499162453,0.2457185676686927,0.1560660903406875,True,detected,0.605966547199959
keyed,20280818,16,qualified,20,1,Pdiag finite,True,,1.9904394871555269,0.7729732783573219,0.26848658332834086,0.17762676613535397,True,detected,0.6080920658268704
keyed,20280818,17,qualified,20,2,Frame-weighted,True,,0.006142907310277224,0.776288887339078,0.6558310125286212,0.3150231212213121,True,detected,0.9936466330873801
keyed,20280818,17,qualified,20,2,Phase scalar GP,True,,0.2638362222351134,0.7762962867313666,0.6558241167335211,0.3150138287054765,True,detected,0.9936566313164269
keyed,20280818,17,qualified,20,2,TP-GMM additive,True,,41.07327382219955,0.8036495012282684,0.26003656645520573,0.13572468627088047,True,detected,0.5926265873809348
keyed,20280818,17,qualified,20,2,TP-GMM SE(2),True,,43.489948452915996,0.808656224591425,0.26398417911226474,0.14068932938324147,True,detected,0.5953658213759827
keyed,20280818,17,qualified,20,2,Generic RBF,True,,0.3902323739603162,0.8106281691286926,0.24054365111923595,0.15980381270955543,True,detected,0.6066556441325545
keyed,20280818,17,qualified,20,2,Full operator,True,,0.002187178935855627,0.8131958957353609,0.24128619951539135,0.16063263243358247,True,detected,0.6067365959493441
keyed,20280818,17,qualified,20,2,Pdiag pointwise,True,,0.008188331965357065,0.81290374798467,0.2399682067890161,0.16003119504536095,True,detected,0.6062336876041926
keyed,20280818,17,qualified,20,2,Pdiag finite,True,,3.018877661321312,0.7493343511573691,0.2644928577539994,0.19006995792167378,True,detected,0.6082432502719255
circular_honest,20260818,0,random,5,0,Frame-weighted,True,,0.006132049020379782,0.4407999884368502,0.5722992515039096,0.2837390254294199,False,right_censored,
circular_honest,20260818,0,random,5,0,Phase scalar GP,True,,0.2380091268569231,0.4409255181390872,0.5721841191178829,0.2836879681881832,False,right_censored,
circular_honest,20260818,0,random,5,0,TP-GMM additive,True,,12.744413710664958,0.036760714978508746,0.06643171527977673,0.0031723305867313468,False,left_censored,
circular_honest,20260818,0,random,5,0,TP-GMM SE(2),True,,11.443481529131532,0.13101824828830255,0.0011651106888303868,0.01840893369821479,False,left_censored,
circular_honest,20260818,0,random,5,0,Generic RBF,True,,0.18415091698989272,0.025708245148840386,-0.0006757860925666147,0.0006939940169869417,False,left_censored,
circular_honest,20260818,0,random,5,0,Full operator,True,,0.002005751710385084,0.02696997579788825,-0.0006920549024255188,0.0008075257621165463,False,left_censored,
circular_honest,20260818,0,random,5,0,Pdiag pointwise,True,,0.007438675034791231,0.007265104542579091,-0.0009236522325072928,8.038195736954664e-05,False,left_censored,
